evaluations raw_y
1 1.0000000000
4 3.0000000000
11 4.0000000000
28 5.0000000000
60 6.0000000000
112 7.0000000000
142 8.0000000000
208 9.0000000000
245 11.0000000000
308 12.0000000000
433 14.0000000000
451 16.0000000000
573 17.0000000000
629 20.0000000000
671 21.0000000000
772 23.0000000000
1050 25.0000000000
1322 26.0000000000
1570 27.0000000000
1591 30.0000000000
1798 31.0000000000
1949 33.0000000000
2041 34.0000000000
2202 36.0000000000
2291 37.0000000000
2318 40.0000000000
2486 44.0000000000
2705 46.0000000000
2847 47.0000000000
3244 50.0000000000
3260 37.0000000000
evaluations raw_y
1 4.0000000000
56 5.0000000000
81 6.0000000000
133 10.0000000000
210 11.0000000000
355 12.0000000000
466 13.0000000000
551 14.0000000000
610 16.0000000000
655 18.0000000000
732 20.0000000000
879 23.0000000000
943 26.0000000000
1153 29.0000000000
1191 32.0000000000
1438 34.0000000000
1681 35.0000000000
1980 37.0000000000
2024 40.0000000000
2091 41.0000000000
2216 42.0000000000
2353 43.0000000000
2444 50.0000000000
2460 43.0000000000
evaluations raw_y
1 4.0000000000
19 5.0000000000
64 6.0000000000
132 9.0000000000
225 11.0000000000
348 13.0000000000
495 14.0000000000
502 15.0000000000
584 16.0000000000
685 17.0000000000
726 19.0000000000
878 22.0000000000
1035 23.0000000000
1142 25.0000000000
1269 26.0000000000
1426 27.0000000000
1545 28.0000000000
1661 31.0000000000
1695 33.0000000000
1703 34.0000000000
1783 36.0000000000
1869 37.0000000000
1972 40.0000000000
2092 41.0000000000
2371 43.0000000000
2815 44.0000000000
3012 46.0000000000
3154 49.0000000000
3246 50.0000000000
3260 27.0000000000
evaluations raw_y
1 1.0000000000
6 4.0000000000
76 5.0000000000
87 6.0000000000
118 8.0000000000
134 9.0000000000
143 10.0000000000
293 14.0000000000
347 15.0000000000
372 17.0000000000
400 18.0000000000
474 20.0000000000
657 21.0000000000
843 23.0000000000
899 24.0000000000
951 26.0000000000
1130 28.0000000000
1209 29.0000000000
1412 30.0000000000
1427 33.0000000000
1672 34.0000000000
1740 35.0000000000
1770 37.0000000000
1799 38.0000000000
2327 39.0000000000
2486 42.0000000000
2720 43.0000000000
2834 45.0000000000
2865 47.0000000000
3054 48.0000000000
3182 50.0000000000
3220 4.0000000000
evaluations raw_y
1 3.0000000000
5 5.0000000000
63 10.0000000000
104 17.0000000000
434 19.0000000000
479 20.0000000000
583 21.0000000000
691 22.0000000000
786 27.0000000000
919 29.0000000000
1091 30.0000000000
1369 34.0000000000
1611 35.0000000000
1884 36.0000000000
1987 40.0000000000
2135 42.0000000000
2248 43.0000000000
2866 47.0000000000
3129 50.0000000000
3140 31.0000000000
evaluations raw_y
1 1.0000000000
7 2.0000000000
16 3.0000000000
52 8.0000000000
115 9.0000000000
176 10.0000000000
365 11.0000000000
417 13.0000000000
472 15.0000000000
553 17.0000000000
694 19.0000000000
752 20.0000000000
880 23.0000000000
1023 25.0000000000
1040 26.0000000000
1393 27.0000000000
1474 31.0000000000
1566 32.0000000000
1840 33.0000000000
1960 37.0000000000
2188 40.0000000000
2438 42.0000000000
2507 43.0000000000
2610 44.0000000000
2869 45.0000000000
3108 50.0000000000
3140 13.0000000000
evaluations raw_y
1 2.0000000000
6 3.0000000000
9 4.0000000000
62 5.0000000000
115 10.0000000000
144 13.0000000000
310 14.0000000000
361 15.0000000000
477 16.0000000000
533 19.0000000000
554 20.0000000000
661 21.0000000000
801 22.0000000000
880 24.0000000000
1045 26.0000000000
1122 27.0000000000
1236 29.0000000000
1420 32.0000000000
1431 34.0000000000
1506 36.0000000000
1586 39.0000000000
1782 40.0000000000
1944 41.0000000000
2375 42.0000000000
2423 48.0000000000
2590 49.0000000000
2683 50.0000000000
2700 49.0000000000
evaluations raw_y
1 1.0000000000
13 2.0000000000
17 4.0000000000
47 7.0000000000
100 10.0000000000
170 11.0000000000
185 13.0000000000
318 15.0000000000
355 17.0000000000
502 19.0000000000
583 23.0000000000
702 28.0000000000
930 29.0000000000
979 30.0000000000
1018 31.0000000000
1062 34.0000000000
1146 37.0000000000
1230 41.0000000000
1881 43.0000000000
2101 44.0000000000
2157 49.0000000000
2244 50.0000000000
2260 12.0000000000
evaluations raw_y
1 0.0000000000
4 1.0000000000
12 5.0000000000
13 6.0000000000
147 8.0000000000
191 9.0000000000
254 10.0000000000
278 12.0000000000
362 13.0000000000
419 14.0000000000
554 15.0000000000
583 17.0000000000
728 20.0000000000
789 21.0000000000
888 24.0000000000
917 28.0000000000
952 30.0000000000
1033 31.0000000000
1090 33.0000000000
1144 34.0000000000
1156 35.0000000000
1282 39.0000000000
1465 41.0000000000
1895 42.0000000000
1965 44.0000000000
2028 45.0000000000
2120 46.0000000000
2483 49.0000000000
2669 50.0000000000
2700 49.0000000000
evaluations raw_y
1 3.0000000000
4 8.0000000000
91 10.0000000000
121 13.0000000000
394 14.0000000000
474 16.0000000000
631 18.0000000000
705 19.0000000000
871 21.0000000000
939 24.0000000000
951 25.0000000000
1087 26.0000000000
1110 27.0000000000
1238 29.0000000000
1417 30.0000000000
1426 34.0000000000
1473 37.0000000000
1688 38.0000000000
1788 40.0000000000
1905 41.0000000000
2025 42.0000000000
2201 43.0000000000
2341 45.0000000000
2613 46.0000000000
2785 47.0000000000
3127 49.0000000000
3158 50.0000000000
3180 47.0000000000
