evaluations raw_y
1 -1883.0000000000
4 -1842.0000000000
36 -1838.0000000000
40 -1833.0000000000
55 -1829.0000000000
57 -1819.0000000000
68 -1789.0000000000
101 -1778.0000000000
151 -1767.0000000000
170 -1763.0000000000
181 -1741.0000000000
239 -1737.0000000000
244 -1728.0000000000
263 -1723.0000000000
268 -1709.0000000000
335 -1704.0000000000
350 -1697.0000000000
381 -1685.0000000000
401 -1684.0000000000
423 -1680.0000000000
425 -1675.0000000000
434 -1667.0000000000
462 -1659.0000000000
474 -1657.0000000000
498 -1653.0000000000
507 -1644.0000000000
541 -1641.0000000000
543 -1638.0000000000
563 -1632.0000000000
574 -1630.0000000000
595 -1623.0000000000
622 -1622.0000000000
627 -1618.0000000000
657 -1615.0000000000
668 -1606.0000000000
673 -1602.0000000000
713 -1600.0000000000
741 -1596.0000000000
744 -1592.0000000000
780 -1590.0000000000
786 -1587.0000000000
805 -1586.0000000000
822 -1584.0000000000
836 -1583.0000000000
852 -1580.0000000000
855 -1578.0000000000
866 -1575.0000000000
901 -1574.0000000000
912 -1573.0000000000
918 -1568.0000000000
935 -1564.0000000000
952 -1563.0000000000
983 -1560.0000000000
996 -1559.0000000000
1006 -1556.0000000000
1035 -1555.0000000000
1039 -1553.0000000000
1044 -1548.0000000000
1104 -1547.0000000000
1108 -1544.0000000000
1149 -1542.0000000000
1190 -1539.0000000000
1237 -1538.0000000000
1253 -1536.0000000000
1255 -1535.0000000000
1262 -1534.0000000000
1286 -1533.0000000000
1301 -1531.0000000000
1348 -1530.0000000000
1355 -1529.0000000000
1375 -1528.0000000000
1382 -1526.0000000000
1393 -1525.0000000000
1402 -1523.0000000000
1448 -1522.0000000000
1472 -1520.0000000000
1481 -1519.0000000000
1513 -1518.0000000000
1529 -1516.0000000000
1548 -1513.0000000000
1585 -1512.0000000000
1623 -1509.0000000000
1659 -1507.0000000000
1669 -1506.0000000000
1680 -1505.0000000000
1701 -1504.0000000000
1714 -1503.0000000000
1729 -1499.0000000000
1768 -1498.0000000000
1782 -1497.0000000000
1783 -1496.0000000000
1822 -1495.0000000000
1836 -1493.0000000000
1894 -1492.0000000000
1908 -1491.0000000000
1911 -1490.0000000000
1942 -1488.0000000000
1961 -1486.0000000000
1988 -1485.0000000000
1991 -1484.0000000000
2010 -1483.0000000000
2021 -1481.0000000000
2026 -1479.0000000000
2079 -1475.0000000000
2123 -1474.0000000000
2146 -1473.0000000000
2181 -1468.0000000000
2253 -1467.0000000000
2286 -1465.0000000000
2303 -1464.0000000000
2329 -1463.0000000000
2340 -1462.0000000000
2353 -1460.0000000000
2388 -1459.0000000000
2418 -1457.0000000000
2425 -1456.0000000000
2432 -1454.0000000000
2464 -1453.0000000000
2473 -1452.0000000000
2478 -1450.0000000000
2543 -1447.0000000000
2585 -1445.0000000000
2603 -1443.0000000000
2619 -1442.0000000000
2635 -1441.0000000000
2662 -1440.0000000000
2671 -1435.0000000000
2724 -1434.0000000000
2747 -1433.0000000000
2766 -1431.0000000000
2793 -1427.0000000000
2866 -1426.0000000000
2912 -1423.0000000000
2974 -1422.0000000000
2984 -1418.0000000000
3049 -1416.0000000000
3083 -1415.0000000000
3098 -1414.0000000000
3099 -1412.0000000000
3119 -1411.0000000000
3145 -1410.0000000000
3157 -1408.0000000000
3213 -1405.0000000000
3244 -1404.0000000000
