evaluations raw_y
1 -2010.0000000000
2 -1974.0000000000
3 -1964.0000000000
5 -1954.0000000000
16 -1953.0000000000
22 -1952.0000000000
27 -1948.0000000000
49 -1946.0000000000
52 -1945.0000000000
65 -1944.0000000000
66 -1943.0000000000
78 -1942.0000000000
90 -1941.0000000000
95 -1940.0000000000
101 -1938.0000000000
104 -1937.0000000000
122 -1936.0000000000
130 -1935.0000000000
133 -1934.0000000000
146 -1933.0000000000
158 -1932.0000000000
169 -1931.0000000000
173 -1930.0000000000
181 -1928.0000000000
191 -1927.0000000000
203 -1926.0000000000
216 -1925.0000000000
218 -1924.0000000000
232 -1923.0000000000
237 -1921.0000000000
249 -1920.0000000000
252 -1918.0000000000
267 -1917.0000000000
283 -1915.0000000000
285 -1914.0000000000
290 -1912.0000000000
321 -1911.0000000000
329 -1910.0000000000
331 -1909.0000000000
343 -1908.0000000000
344 -1906.0000000000
345 -1904.0000000000
368 -1903.0000000000
382 -1902.0000000000
387 -1899.0000000000
392 -1898.0000000000
398 -1897.0000000000
413 -1896.0000000000
415 -1895.0000000000
424 -1894.0000000000
430 -1893.0000000000
451 -1892.0000000000
470 -1891.0000000000
484 -1890.0000000000
489 -1889.0000000000
514 -1888.0000000000
544 -1887.0000000000
549 -1886.0000000000
555 -1884.0000000000
578 -1883.0000000000
590 -1882.0000000000
608 -1881.0000000000
613 -1880.0000000000
626 -1879.0000000000
634 -1878.0000000000
651 -1877.0000000000
660 -1876.0000000000
661 -1875.0000000000
667 -1874.0000000000
670 -1872.0000000000
695 -1871.0000000000
705 -1870.0000000000
710 -1869.0000000000
718 -1868.0000000000
736 -1866.0000000000
746 -1865.0000000000
748 -1864.0000000000
756 -1863.0000000000
758 -1862.0000000000
773 -1861.0000000000
775 -1860.0000000000
802 -1859.0000000000
803 -1858.0000000000
810 -1857.0000000000
826 -1855.0000000000
850 -1853.0000000000
864 -1852.0000000000
869 -1851.0000000000
870 -1850.0000000000
880 -1849.0000000000
881 -1848.0000000000
884 -1847.0000000000
885 -1846.0000000000
895 -1845.0000000000
913 -1844.0000000000
917 -1843.0000000000
942 -1842.0000000000
943 -1841.0000000000
954 -1840.0000000000
963 -1839.0000000000
967 -1838.0000000000
985 -1837.0000000000
989 -1836.0000000000
995 -1835.0000000000
1001 -1832.0000000000
1018 -1831.0000000000
1027 -1830.0000000000
1049 -1829.0000000000
1053 -1827.0000000000
1057 -1826.0000000000
1060 -1825.0000000000
1063 -1824.0000000000
1100 -1823.0000000000
1102 -1822.0000000000
1114 -1821.0000000000
1133 -1820.0000000000
1142 -1819.0000000000
1150 -1818.0000000000
1165 -1817.0000000000
1174 -1816.0000000000
1187 -1815.0000000000
1198 -1814.0000000000
1207 -1813.0000000000
1221 -1812.0000000000
1237 -1811.0000000000
1244 -1810.0000000000
1256 -1809.0000000000
1268 -1807.0000000000
1293 -1805.0000000000
1311 -1804.0000000000
1328 -1803.0000000000
1331 -1802.0000000000
1334 -1801.0000000000
1342 -1800.0000000000
1360 -1797.0000000000
1374 -1795.0000000000
1383 -1794.0000000000
1386 -1793.0000000000
1393 -1792.0000000000
1394 -1791.0000000000
1400 -1790.0000000000
1401 -1788.0000000000
1421 -1787.0000000000
1433 -1786.0000000000
1436 -1785.0000000000
1444 -1783.0000000000
1447 -1782.0000000000
1457 -1781.0000000000
1468 -1780.0000000000
1476 -1779.0000000000
1482 -1778.0000000000
1497 -1777.0000000000
1515 -1773.0000000000
1516 -1772.0000000000
1524 -1771.0000000000
1529 -1770.0000000000
1536 -1767.0000000000
1561 -1766.0000000000
1567 -1765.0000000000
1582 -1764.0000000000
1587 -1763.0000000000
1596 -1762.0000000000
1609 -1761.0000000000
1621 -1760.0000000000
1636 -1759.0000000000
1646 -1758.0000000000
1662 -1757.0000000000
1671 -1756.0000000000
1679 -1755.0000000000
1687 -1754.0000000000
1709 -1753.0000000000
1722 -1752.0000000000
1739 -1751.0000000000
1740 -1750.0000000000
1763 -1749.0000000000
1767 -1748.0000000000
1782 -1747.0000000000
1788 -1746.0000000000
1795 -1745.0000000000
1800 -1744.0000000000
1806 -1743.0000000000
1812 -1742.0000000000
1824 -1741.0000000000
1828 -1740.0000000000
1833 -1739.0000000000
1853 -1738.0000000000
1866 -1737.0000000000
1869 -1736.0000000000
1872 -1735.0000000000
1895 -1733.0000000000
1896 -1731.0000000000
