evaluations raw_y
1 -1980.0000000000
2 -1944.0000000000
3 -1934.0000000000
5 -1924.0000000000
15 -1923.0000000000
20 -1922.0000000000
27 -1918.0000000000
43 -1916.0000000000
45 -1915.0000000000
62 -1914.0000000000
66 -1913.0000000000
78 -1912.0000000000
84 -1911.0000000000
95 -1909.0000000000
96 -1907.0000000000
97 -1906.0000000000
101 -1905.0000000000
113 -1904.0000000000
114 -1903.0000000000
118 -1902.0000000000
119 -1901.0000000000
120 -1900.0000000000
130 -1899.0000000000
133 -1898.0000000000
139 -1897.0000000000
146 -1896.0000000000
148 -1894.0000000000
153 -1893.0000000000
167 -1892.0000000000
169 -1891.0000000000
174 -1890.0000000000
176 -1888.0000000000
178 -1887.0000000000
190 -1886.0000000000
198 -1885.0000000000
205 -1884.0000000000
216 -1883.0000000000
229 -1882.0000000000
237 -1879.0000000000
243 -1878.0000000000
252 -1877.0000000000
259 -1876.0000000000
267 -1875.0000000000
279 -1874.0000000000
283 -1872.0000000000
285 -1871.0000000000
288 -1870.0000000000
290 -1868.0000000000
302 -1867.0000000000
313 -1866.0000000000
321 -1865.0000000000
331 -1864.0000000000
341 -1863.0000000000
343 -1862.0000000000
344 -1861.0000000000
353 -1860.0000000000
359 -1859.0000000000
366 -1857.0000000000
371 -1856.0000000000
376 -1855.0000000000
384 -1854.0000000000
387 -1852.0000000000
392 -1851.0000000000
396 -1850.0000000000
397 -1849.0000000000
405 -1848.0000000000
411 -1847.0000000000
422 -1846.0000000000
435 -1845.0000000000
438 -1844.0000000000
448 -1843.0000000000
453 -1842.0000000000
458 -1841.0000000000
476 -1840.0000000000
480 -1839.0000000000
488 -1838.0000000000
489 -1837.0000000000
506 -1836.0000000000
522 -1835.0000000000
540 -1834.0000000000
549 -1833.0000000000
555 -1831.0000000000
557 -1830.0000000000
558 -1829.0000000000
571 -1828.0000000000
576 -1827.0000000000
590 -1826.0000000000
595 -1825.0000000000
615 -1824.0000000000
620 -1823.0000000000
624 -1822.0000000000
626 -1821.0000000000
627 -1820.0000000000
631 -1819.0000000000
644 -1818.0000000000
648 -1817.0000000000
651 -1816.0000000000
655 -1815.0000000000
660 -1814.0000000000
661 -1813.0000000000
663 -1811.0000000000
673 -1810.0000000000
691 -1809.0000000000
695 -1807.0000000000
696 -1806.0000000000
703 -1805.0000000000
704 -1804.0000000000
724 -1803.0000000000
731 -1802.0000000000
734 -1801.0000000000
736 -1799.0000000000
754 -1798.0000000000
758 -1797.0000000000
767 -1796.0000000000
772 -1795.0000000000
784 -1794.0000000000
796 -1793.0000000000
803 -1792.0000000000
810 -1791.0000000000
816 -1790.0000000000
831 -1789.0000000000
837 -1788.0000000000
848 -1787.0000000000
850 -1786.0000000000
855 -1785.0000000000
856 -1783.0000000000
861 -1782.0000000000
865 -1781.0000000000
879 -1780.0000000000
881 -1778.0000000000
882 -1777.0000000000
884 -1776.0000000000
885 -1775.0000000000
888 -1774.0000000000
895 -1773.0000000000
904 -1772.0000000000
906 -1771.0000000000
913 -1770.0000000000
917 -1768.0000000000
918 -1767.0000000000
924 -1766.0000000000
927 -1765.0000000000
934 -1764.0000000000
943 -1763.0000000000
947 -1762.0000000000
952 -1760.0000000000
957 -1759.0000000000
962 -1758.0000000000
971 -1756.0000000000
974 -1755.0000000000
984 -1754.0000000000
986 -1752.0000000000
995 -1750.0000000000
1001 -1748.0000000000
1008 -1746.0000000000
1018 -1745.0000000000
1023 -1744.0000000000
1027 -1743.0000000000
1031 -1742.0000000000
1053 -1739.0000000000
