evaluations raw_y
1 -1556.0000000000
2 -1517.0000000000
7 -1478.0000000000
9 -1439.0000000000
10 -1429.0000000000
12 -1400.0000000000
13 -1322.0000000000
19 -1283.0000000000
22 -1244.0000000000
24 -1215.0000000000
33 -1166.0000000000
42 -1127.0000000000
44 -1088.0000000000
48 -1020.0000000000
49 -991.0000000000
53 -962.0000000000
56 -923.0000000000
59 -913.0000000000
61 -903.0000000000
62 -874.0000000000
63 -835.0000000000
71 -796.0000000000
72 -786.0000000000
88 -767.0000000000
93 -699.0000000000
118 -689.0000000000
119 -660.0000000000
120 -631.0000000000
135 -621.0000000000
136 -582.0000000000
148 -572.0000000000
173 -543.0000000000
182 -514.0000000000
183 -485.0000000000
186 -456.0000000000
204 -417.0000000000
209 -398.0000000000
213 -379.0000000000
215 -350.0000000000
239 -311.0000000000
249 -282.0000000000
260 -253.0000000000
263 -214.0000000000
268 -185.0000000000
276 -184.0000000000
297 -155.0000000000
310 -97.0000000000
343 -78.0000000000
376 -49.0000000000
417 -40.0000000000
511 -31.0000000000
524 -22.0000000000
527 -14.0000000000
528 -13.0000000000
575 -12.0000000000
659 -11.0000000000
660 -10.0000000000
723 -1.0000000000
789 8.0000000000
8638 9.0000000000
75027 10.0000000000
100000 -29.0000000000
evaluations raw_y
1 -1722.0000000000
7 -1683.0000000000
8 -1644.0000000000
11 -1605.0000000000
16 -1566.0000000000
18 -1527.0000000000
21 -1488.0000000000
30 -1449.0000000000
32 -1410.0000000000
39 -1371.0000000000
42 -1352.0000000000
48 -1323.0000000000
57 -1284.0000000000
59 -1255.0000000000
60 -1245.0000000000
61 -1206.0000000000
62 -1177.0000000000
72 -1138.0000000000
88 -1128.0000000000
92 -1060.0000000000
94 -1050.0000000000
96 -1021.0000000000
101 -982.0000000000
107 -914.0000000000
111 -875.0000000000
123 -797.0000000000
133 -758.0000000000
136 -719.0000000000
139 -690.0000000000
142 -651.0000000000
155 -612.0000000000
160 -593.0000000000
169 -554.0000000000
173 -525.0000000000
179 -496.0000000000
196 -477.0000000000
197 -438.0000000000
205 -408.0000000000
207 -379.0000000000
220 -360.0000000000
226 -321.0000000000
236 -302.0000000000
247 -292.0000000000
250 -273.0000000000
251 -234.0000000000
254 -215.0000000000
282 -176.0000000000
302 -147.0000000000
305 -138.0000000000
332 -118.0000000000
369 -108.0000000000
377 -89.0000000000
432 -70.0000000000
449 -51.0000000000
488 -32.0000000000
495 -13.0000000000
534 6.0000000000
535 7.0000000000
1088 8.0000000000
8594 9.0000000000
34565 10.0000000000
100000 -29.0000000000
evaluations raw_y
1 -1410.0000000000
7 -1371.0000000000
11 -1361.0000000000
18 -1332.0000000000
20 -1293.0000000000
26 -1225.0000000000
36 -1186.0000000000
37 -1147.0000000000
39 -1108.0000000000
41 -1069.0000000000
51 -1030.0000000000
54 -991.0000000000
55 -923.0000000000
58 -845.0000000000
60 -806.0000000000
65 -787.0000000000
77 -758.0000000000
81 -719.0000000000
85 -680.0000000000
86 -651.0000000000
95 -622.0000000000
100 -612.0000000000
104 -602.0000000000
105 -573.0000000000
119 -505.0000000000
122 -495.0000000000
125 -456.0000000000
133 -427.0000000000
135 -398.0000000000
139 -359.0000000000
140 -330.0000000000
149 -282.0000000000
155 -253.0000000000
160 -214.0000000000
165 -205.0000000000
186 -166.0000000000
190 -147.0000000000
205 -137.0000000000
206 -128.0000000000
210 -109.0000000000
223 -108.0000000000
227 -99.0000000000
232 -89.0000000000
253 -70.0000000000
265 -61.0000000000
266 -52.0000000000
325 -13.0000000000
401 -12.0000000000
603 7.0000000000
664 8.0000000000
729 9.0000000000
100000 9.0000000000
evaluations raw_y
1 -1293.0000000000
2 -1254.0000000000
6 -1176.0000000000
14 -1137.0000000000
15 -1118.0000000000
17 -1050.0000000000
24 -1011.0000000000
31 -972.0000000000
38 -962.0000000000
43 -894.0000000000
54 -855.0000000000
65 -787.0000000000
80 -709.0000000000
82 -670.0000000000
94 -631.0000000000
116 -602.0000000000
118 -563.0000000000
128 -534.0000000000
142 -495.0000000000
145 -456.0000000000
153 -437.0000000000
157 -398.0000000000
158 -369.0000000000
171 -340.0000000000
179 -292.0000000000
181 -224.0000000000
191 -156.0000000000
193 -137.0000000000
274 -118.0000000000
276 -89.0000000000
306 -80.0000000000
310 -70.0000000000
323 -51.0000000000
373 -42.0000000000
435 -41.0000000000
441 -22.0000000000
447 -21.0000000000
508 -12.0000000000
673 -11.0000000000
755 -2.0000000000
818 7.0000000000
939 8.0000000000
46890 9.0000000000
100000 -39.0000000000
evaluations raw_y
1 -1449.0000000000
8 -1410.0000000000
17 -1371.0000000000
19 -1332.0000000000
28 -1293.0000000000
29 -1254.0000000000
37 -1215.0000000000
38 -1147.0000000000
43 -1108.0000000000
44 -1098.0000000000
45 -1059.0000000000
46 -1020.0000000000
52 -981.0000000000
54 -942.0000000000
65 -903.0000000000
66 -835.0000000000
79 -796.0000000000
84 -757.0000000000
88 -718.0000000000
91 -679.0000000000
92 -630.0000000000
94 -591.0000000000
98 -572.0000000000
109 -504.0000000000
111 -465.0000000000
120 -446.0000000000
135 -417.0000000000
168 -388.0000000000
