evaluations raw_y
1 0.0000000000
94 1.0000000000
170 2.0000000000
268 3.0000000000
331 5.0000000000
684 8.0000000000
819 9.0000000000
1022 11.0000000000
1081 13.0000000000
1119 14.0000000000
1177 18.0000000000
1345 19.0000000000
1416 20.0000000000
1516 23.0000000000
1639 24.0000000000
1883 26.0000000000
2146 29.0000000000
2215 32.0000000000
2268 33.0000000000
2470 34.0000000000
2811 37.0000000000
2877 44.0000000000
3021 48.0000000000
3500 51.0000000000
3663 57.0000000000
3732 62.0000000000
4150 64.0000000000
4489 65.0000000000
4634 66.0000000000
4692 68.0000000000
4721 70.0000000000
4855 72.0000000000
5247 74.0000000000
5468 75.0000000000
5724 76.0000000000
5773 77.0000000000
5824 78.0000000000
6515 79.0000000000
6524 81.0000000000
6611 87.0000000000
7848 88.0000000000
8011 89.0000000000
8694 90.0000000000
8741 93.0000000000
9289 94.0000000000
9410 96.0000000000
9510 98.0000000000
9617 99.0000000000
9790 100.0000000000
100000 89.0000000000
evaluations raw_y
1 0.0000000000
74 1.0000000000
173 2.0000000000
215 3.0000000000
452 5.0000000000
526 7.0000000000
665 8.0000000000
718 11.0000000000
764 12.0000000000
1158 13.0000000000
1577 15.0000000000
1730 17.0000000000
1900 18.0000000000
2285 20.0000000000
2399 21.0000000000
2422 22.0000000000
2690 23.0000000000
2725 25.0000000000
2897 27.0000000000
2996 29.0000000000
3018 31.0000000000
3022 33.0000000000
3027 35.0000000000
3039 36.0000000000
3112 38.0000000000
3136 40.0000000000
3231 41.0000000000
3275 42.0000000000
3675 45.0000000000
4296 46.0000000000
4351 49.0000000000
4824 51.0000000000
4838 52.0000000000
4892 54.0000000000
5353 55.0000000000
6035 58.0000000000
6520 61.0000000000
7042 63.0000000000
7452 64.0000000000
7589 65.0000000000
7667 67.0000000000
8023 69.0000000000
8188 70.0000000000
8258 73.0000000000
8407 74.0000000000
8490 75.0000000000
8740 78.0000000000
8907 79.0000000000
9280 80.0000000000
9333 82.0000000000
9491 84.0000000000
10093 85.0000000000
10367 87.0000000000
10651 88.0000000000
11148 91.0000000000
11311 93.0000000000
11326 96.0000000000
11359 100.0000000000
100000 29.0000000000
evaluations raw_y
1 1.0000000000
108 2.0000000000
136 6.0000000000
486 11.0000000000
525 12.0000000000
536 14.0000000000
569 17.0000000000
780 18.0000000000
785 19.0000000000
829 27.0000000000
915 28.0000000000
1276 29.0000000000
1313 30.0000000000
1632 32.0000000000
1785 34.0000000000
