evaluations raw_y
1 -1537.0000000000
2 -1381.0000000000
3 -1069.0000000000
13 -1040.0000000000
25 -962.0000000000
32 -943.0000000000
42 -933.0000000000
61 -855.0000000000
69 -777.0000000000
137 -748.0000000000
146 -699.0000000000
150 -680.0000000000
161 -621.0000000000
225 -602.0000000000
232 -543.0000000000
239 -524.0000000000
262 -505.0000000000
272 -398.0000000000
346 -281.0000000000
397 -195.0000000000
507 -146.0000000000
582 -108.0000000000
686 -89.0000000000
696 -70.0000000000
704 -50.0000000000
765 -40.0000000000
783 -22.0000000000
864 -13.0000000000
923 -5.0000000000
965 -4.0000000000
1011 -3.0000000000
1100 5.0000000000
1119 6.0000000000
1261 7.0000000000
1350 8.0000000000
100000 -1.0000000000
evaluations raw_y
1 -1284.0000000000
3 -1245.0000000000
4 -1147.0000000000
29 -1119.0000000000
31 -1118.0000000000
40 -1098.0000000000
52 -1079.0000000000
59 -1050.0000000000
63 -1001.0000000000
72 -943.0000000000
82 -894.0000000000
92 -739.0000000000
104 -729.0000000000
143 -661.0000000000
194 -651.0000000000
197 -515.0000000000
206 -467.0000000000
227 -427.0000000000
256 -399.0000000000
274 -341.0000000000
326 -302.0000000000
336 -291.0000000000
345 -243.0000000000
416 -224.0000000000
441 -186.0000000000
464 -147.0000000000
479 -137.0000000000
483 -128.0000000000
513 -98.0000000000
515 -97.0000000000
554 -60.0000000000
617 -41.0000000000
625 -31.0000000000
677 -22.0000000000
694 -12.0000000000
766 -11.0000000000
775 -3.0000000000
864 6.0000000000
911 7.0000000000
1066 8.0000000000
1234 9.0000000000
100000 -39.0000000000
evaluations raw_y
1 -1751.0000000000
2 -1410.0000000000
4 -1371.0000000000
7 -1293.0000000000
10 -1264.0000000000
13 -1196.0000000000
17 -1050.0000000000
27 -932.0000000000
65 -826.0000000000
99 -816.0000000000
110 -777.0000000000
124 -564.0000000000
200 -544.0000000000
223 -486.0000000000
246 -466.0000000000
269 -457.0000000000
276 -428.0000000000
281 -388.0000000000
290 -322.0000000000
321 -311.0000000000
359 -283.0000000000
