evaluations raw_y
1 2708.0000000000
8 2847.0000000000
12 2882.0000000000
24 3118.0000000000
42 3222.0000000000
66 3291.0000000000
78 3526.0000000000
118 3651.0000000000
119 3815.0000000000
156 3832.0000000000
176 3856.0000000000
222 3870.0000000000
237 3951.0000000000
257 3991.0000000000
258 4097.0000000000
262 4166.0000000000
274 4264.0000000000
276 4305.0000000000
300 4329.0000000000
320 4330.0000000000
337 4331.0000000000
342 4539.0000000000
375 4604.0000000000
454 4675.0000000000
499 4757.0000000000
536 4772.0000000000
602 4778.0000000000
609 4809.0000000000
628 4829.0000000000
694 4831.0000000000
699 4859.0000000000
715 4868.0000000000
730 4885.0000000000
759 4896.0000000000
770 4903.0000000000
846 4915.0000000000
878 4920.0000000000
992 4955.0000000000
1122 4957.0000000000
1137 4975.0000000000
1186 4982.0000000000
1473 4984.0000000000
1578 4985.0000000000
1586 4987.0000000000
1587 5041.0000000000
1903 5044.0000000000
2428 5050.0000000000
100000 5050.0000000000
evaluations raw_y
1 3178.0000000000
72 3312.0000000000
93 3415.0000000000
108 3425.0000000000
111 3452.0000000000
120 3721.0000000000
136 3826.0000000000
189 3885.0000000000
232 3892.0000000000
243 4037.0000000000
271 4043.0000000000
279 4078.0000000000
295 4311.0000000000
363 4379.0000000000
389 4458.0000000000
436 4647.0000000000
542 4664.0000000000
547 4695.0000000000
561 4696.0000000000
579 4757.0000000000
590 4758.0000000000
630 4783.0000000000
688 4784.0000000000
753 4788.0000000000
796 4831.0000000000
865 4839.0000000000
872 4842.0000000000
875 4843.0000000000
905 4859.0000000000
916 4863.0000000000
926 4879.0000000000
980 4894.0000000000
1053 4901.0000000000
1070 4903.0000000000
1104 4907.0000000000
1156 4914.0000000000
1181 4916.0000000000
1234 4974.0000000000
1294 4980.0000000000
1308 4982.0000000000
1369 4988.0000000000
1377 4989.0000000000
1500 4999.0000000000
1617 5016.0000000000
1786 5019.0000000000
1787 5024.0000000000
1830 5029.0000000000
1854 5033.0000000000
1884 5047.0000000000
2041 5050.0000000000
100000 5019.0000000000
evaluations raw_y
1 2397.0000000000
2 2491.0000000000
3 2823.0000000000
8 3166.0000000000
61 3230.0000000000
67 3274.0000000000
76 3370.0000000000
109 3462.0000000000
121 3491.0000000000
125 3507.0000000000
127 3513.0000000000
130 3660.0000000000
166 3716.0000000000
174 3846.0000000000
187 3931.0000000000
223 3936.0000000000
232 3958.0000000000
254 3983.0000000000
275 4044.0000000000
286 4150.0000000000
316 4166.0000000000
326 4180.0000000000
328 4183.0000000000
339 4198.0000000000
359 4294.0000000000
360 4322.0000000000
375 4366.0000000000
399 4443.0000000000
413 4488.0000000000
443 4498.0000000000
489 4594.0000000000
521 4633.0000000000
530 4662.0000000000
553 4664.0000000000
559 4751.0000000000
604 4832.0000000000
666 4895.0000000000
685 4952.0000000000
732 4962.0000000000
768 4965.0000000000
803 4984.0000000000
815 5001.0000000000
1027 5007.0000000000
1189 5047.0000000000
1756 5050.0000000000
100000 5019.0000000000
evaluations raw_y
1 2531.0000000000
5 2693.0000000000
6 2832.0000000000
11 2893.0000000000
32 3022.0000000000
49 3132.0000000000
73 3182.0000000000
95 3236.0000000000
114 3350.0000000000
136 3558.0000000000
177 3634.0000000000
194 3688.0000000000
195 3875.0000000000
223 3967.0000000000
258 4004.0000000000
262 4064.0000000000
275 4093.0000000000
