evaluations raw_y
1 2392.0000000000
2 3057.0000000000
13 3272.0000000000
23 3332.0000000000
28 3347.0000000000
30 3386.0000000000
35 3428.0000000000
40 3499.0000000000
44 3571.0000000000
47 3665.0000000000
62 3700.0000000000
69 3718.0000000000
79 3852.0000000000
86 3927.0000000000
90 3939.0000000000
110 3950.0000000000
111 4043.0000000000
122 4084.0000000000
131 4187.0000000000
151 4253.0000000000
173 4336.0000000000
176 4351.0000000000
188 4385.0000000000
198 4390.0000000000
206 4404.0000000000
217 4444.0000000000
227 4466.0000000000
233 4467.0000000000
241 4502.0000000000
244 4545.0000000000
263 4551.0000000000
265 4593.0000000000
266 4602.0000000000
274 4607.0000000000
284 4613.0000000000
291 4638.0000000000
299 4647.0000000000
322 4741.0000000000
336 4802.0000000000
381 4815.0000000000
382 4857.0000000000
389 4889.0000000000
415 4899.0000000000
430 4926.0000000000
448 4970.0000000000
526 4983.0000000000
633 5031.0000000000
700 5047.0000000000
733 5050.0000000000
100000 5050.0000000000
evaluations raw_y
1 2795.0000000000
7 2903.0000000000
10 3072.0000000000
18 3196.0000000000
29 3227.0000000000
37 3344.0000000000
38 3357.0000000000
49 3422.0000000000
56 3443.0000000000
65 3563.0000000000
75 3585.0000000000
79 3623.0000000000
81 3635.0000000000
90 3648.0000000000
91 3697.0000000000
94 3738.0000000000
126 3761.0000000000
130 3877.0000000000
141 3883.0000000000
151 3947.0000000000
164 4015.0000000000
175 4053.0000000000
201 4080.0000000000
204 4211.0000000000
207 4246.0000000000
212 4288.0000000000
223 4311.0000000000
233 4319.0000000000
237 4336.0000000000
244 4354.0000000000
253 4425.0000000000
282 4435.0000000000
288 4482.0000000000
305 4567.0000000000
335 4571.0000000000
340 4652.0000000000
343 4654.0000000000
366 4703.0000000000
379 4714.0000000000
450 4724.0000000000
508 4785.0000000000
566 4809.0000000000
571 4879.0000000000
576 4946.0000000000
667 4953.0000000000
668 4958.0000000000
673 4988.0000000000
773 5005.0000000000
879 5046.0000000000
885 5050.0000000000
100000 5046.0000000000
evaluations raw_y
1 2302.0000000000
2 2453.0000000000
4 2483.0000000000
6 2870.0000000000
12 3046.0000000000
20 3342.0000000000
28 3420.0000000000
39 3543.0000000000
51 3733.0000000000
56 3756.0000000000
66 3827.0000000000
77 3877.0000000000
82 3892.0000000000
98 3985.0000000000
101 4025.0000000000
109 4040.0000000000
132 4165.0000000000
141 4187.0000000000
152 4195.0000000000
156 4231.0000000000
159 4247.0000000000
173 4251.0000000000
177 4263.0000000000
181 4276.0000000000
188 4311.0000000000
200 4325.0000000000
203 4327.0000000000
211 4360.0000000000
214 4393.0000000000
221 4406.0000000000
225 4409.0000000000
254 4449.0000000000
257 4450.0000000000
281 4476.0000000000
283 4533.0000000000
287 4551.0000000000
313 4561.0000000000
315 4589.0000000000
320 4615.0000000000
346 4637.0000000000
356 4640.0000000000
359 4649.0000000000
381 4653.0000000000
385 4689.0000000000
393 4737.0000000000
400 4773.0000000000
410 4780.0000000000
443 4824.0000000000
468 4847.0000000000
485 4894.0000000000
558 4905.0000000000
607 4939.0000000000
616 4985.0000000000
813 5010.0000000000
834 5020.0000000000
1049 5041.0000000000
1174 5050.0000000000
100000 4968.0000000000
evaluations raw_y
1 2640.0000000000
2 2709.0000000000
3 3059.0000000000
10 3288.0000000000
21 3606.0000000000
44 3610.0000000000
45 3629.0000000000
48 3698.0000000000
51 3890.0000000000
76 3986.0000000000
99 4062.0000000000
111 4130.0000000000
131 4157.0000000000
139 4197.0000000000
150 4248.0000000000
156 4320.0000000000
201 4414.0000000000
215 4432.0000000000
227 4488.0000000000
232 4512.0000000000
235 4586.0000000000
258 4596.0000000000
271 4645.0000000000
275 4655.0000000000
279 4706.0000000000
286 4716.0000000000
303 4727.0000000000
331 4750.0000000000
345 4758.0000000000
397 4760.0000000000
407 4795.0000000000
429 4813.0000000000
462 4817.0000000000
483 4865.0000000000
488 4895.0000000000
512 4902.0000000000
562 4928.0000000000
586 4955.0000000000
630 4995.0000000000
636 5004.0000000000
815 5007.0000000000
835 5035.0000000000
838 5038.0000000000
876 5050.0000000000
100000 5050.0000000000
evaluations raw_y
1 2332.0000000000
2 3050.0000000000
11 3417.0000000000
21 3487.0000000000
28 3492.0000000000
29 3538.0000000000
31 3583.0000000000
36 3606.0000000000
39 3657.0000000000
40 3665.0000000000
41 3751.0000000000
52 3835.0000000000
55 3895.0000000000
70 3966.0000000000
80 3977.0000000000
83 3981.0000000000
87 4053.0000000000
100 4212.0000000000
119 4265.0000000000
124 4275.0000000000
131 4292.0000000000
142 4349.0000000000
144 4363.0000000000
153 4364.0000000000
167 4405.0000000000
170 4420.0000000000
174 4484.0000000000
192 4516.0000000000
201 4546.0000000000
222 4615.0000000000
247 4633.0000000000
259 4655.0000000000
264 4682.0000000000
272 4703.0000000000
282 4778.0000000000
288 4784.0000000000
299 4799.0000000000
336 4847.0000000000
342 4849.0000000000
366 4862.0000000000
396 4897.0000000000
411 4907.0000000000
427 4933.0000000000
430 4935.0000000000
433 4961.0000000000
460 4972.0000000000
471 4977.0000000000
509 5006.0000000000
616 5030.0000000000
776 5050.0000000000
100000 4983.0000000000
evaluations raw_y
1 2188.0000000000
2 2597.0000000000
3 2716.0000000000
9 2791.0000000000
10 2912.0000000000
15 3144.0000000000
20 3222.0000000000
23 3281.0000000000
34 3303.0000000000
37 3314.0000000000
43 3490.0000000000
47 3500.0000000000
55 3554.0000000000
57 3602.0000000000
59 3685.0000000000
67 3702.0000000000
71 3820.0000000000
77 3834.0000000000
83 3956.0000000000
89 3975.0000000000
102 3991.0000000000
105 4004.0000000000
113 4111.0000000000
127 4118.0000000000
142 4201.0000000000
160 4286.0000000000
164 4314.0000000000
170 4329.0000000000
174 4351.0000000000
180 4358.0000000000
191 4368.0000000000
205 4382.0000000000
206 4466.0000000000
218 4478.0000000000
226 4535.0000000000
269 4538.0000000000
286 4550.0000000000
299 4583.0000000000
315 4606.0000000000
320 4612.0000000000
325 4635.0000000000
332 4665.0000000000
361 4717.0000000000
428 4768.0000000000
449 4807.0000000000
494 4848.0000000000
506 4862.0000000000
551 4880.0000000000
557 4887.0000000000
572 4905.0000000000
574 4929.0000000000
578 4947.0000000000
585 5001.0000000000
751 5033.0000000000
804 5050.0000000000
100000 5050.0000000000
evaluations raw_y
1 2732.0000000000
4 2948.0000000000
19 2969.0000000000
21 3179.0000000000
34 3267.0000000000
41 3348.0000000000
61 3351.0000000000
64 3357.0000000000
67 3438.0000000000
76 3523.0000000000
91 3526.0000000000
93 3619.0000000000
103 3652.0000000000
107 3714.0000000000
116 3819.0000000000
125 3905.0000000000
159 3911.0000000000
174 3912.0000000000
179 3937.0000000000
186 3991.0000000000
193 4000.0000000000
195 4110.0000000000
201 4139.0000000000
205 4152.0000000000
208 4166.0000000000
211 4227.0000000000
237 4244.0000000000
249 4313.0000000000
284 4320.0000000000
295 4324.0000000000
298 4424.0000000000
309 4460.0000000000
341 4488.0000000000
364 4547.0000000000
377 4577.0000000000
379 4615.0000000000
402 4626.0000000000
403 4663.0000000000
429 4690.0000000000
448 4745.0000000000
522 4769.0000000000
558 4781.0000000000
570 4820.0000000000
581 4832.0000000000
586 4842.0000000000
588 4854.0000000000
599 4912.0000000000
601 4953.0000000000
700 4974.0000000000
713 4982.0000000000
783 5001.0000000000
795 5021.0000000000
812 5033.0000000000
963 5044.0000000000
