evaluations raw_y
1 -0.4760120394
4 -0.4736479521
5 -0.4710164217
6 -0.4640777744
12 -0.4629857612
15 -0.4550064258
17 -0.4543528607
21 -0.4504599835
26 -0.4503863061
28 -0.4493105986
35 -0.4446801165
37 -0.4230859069
50 -0.4156914362
54 -0.4116383551
62 -0.4094332407
69 -0.3991964482
77 -0.3903720606
85 -0.3868850030
86 -0.3790721852
94 -0.3778316515
102 -0.3771651751
104 -0.3698826927
122 -0.3636374344
123 -0.3623766384
126 -0.3609334408
130 -0.3599244290
158 -0.3586941388
161 -0.3520038244
163 -0.3509875367
176 -0.3491845843
252 -0.3484064927
253 -0.3479263727
261 -0.3422314536
324 -0.3409108910
325 -0.3347067323
341 -0.3340901501
342 -0.3322191308
378 -0.3255207676
388 -0.3247797502
443 -0.3246533447
501 -0.3239572939
572 -0.3186376581
651 -0.3151973689
3110 -0.3125030248
3236 -0.3109877645
3798 -0.3075100362
16394 -0.3073922287
16549 -0.3020330329
31333 -0.2985087408
39186 -0.2978798510
50728 -0.2965538531
100000 -0.3027580119
evaluations raw_y
1 -0.5255986713
8 -0.5169714654
14 -0.5130628009
18 -0.4997265624
20 -0.4985551027
36 -0.4970223141
43 -0.4864752478
46 -0.4821269106
52 -0.4748513965
60 -0.4602004002
68 -0.4582420831
70 -0.4543460569
71 -0.4502628375
73 -0.4497774393
94 -0.4431707945
97 -0.4384900771
100 -0.4380503479
105 -0.4367034071
120 -0.4317796010
129 -0.4312955583
130 -0.4301031282
133 -0.4228826818
136 -0.4221609916
139 -0.4199030617
144 -0.4144652949
163 -0.4131410912
171 -0.4117612981
172 -0.4114821829
189 -0.4093954521
190 -0.4091885425
194 -0.4073738688
216 -0.4070491393
217 -0.3973287024
222 -0.3960614415
225 -0.3918550969
230 -0.3903491875
232 -0.3885462351
237 -0.3836147365
241 -0.3787011671
256 -0.3783771288
262 -0.3776361115
279 -0.3749955856
281 -0.3748709211
284 -0.3703570335
285 -0.3604387350
298 -0.3601129547
305 -0.3599060451
331 -0.3585854826
343 -0.3572612788
344 -0.3549617515
348 -0.3536411890
374 -0.3447777293
404 -0.3442976093
415 -0.3398338835
417 -0.3375544351
471 -0.3357514826
479 -0.3285778091
522 -0.3236769729
540 -0.3229146752
659 -0.3175554794
675 -0.3161686104
696 -0.3106232811
743 -0.3093560201
910 -0.3081257300
1503 -0.3042410494
1616 -0.3032400090
6778 -0.2997157170
11365 -0.2950664852
100000 -0.2950664852
evaluations raw_y
1 -0.5474686890
5 -0.5471371149
13 -0.5443455036
14 -0.5274010843
16 -0.5248574740
18 -0.5172147198
24 -0.5124031884
27 -0.5094699457
28 -0.5029365426
31 -0.5009672014
33 -0.4958088226
34 -0.4948412715
45 -0.4927397193
54 -0.4926826565
61 -0.4844190763
62 -0.4819674507
63 -0.4815666367
70 -0.4680948065
73 -0.4524355573
85 -0.4489484997
90 -0.4482949346
102 -0.4437552417
116 -0.4373441807
121 -0.4353016802
128 -0.4321908910
131 -0.4269901098
141 -0.4256574954
150 -0.4176781599
160 -0.4168339483
165 -0.4161378975
182 -0.4153360565
190 -0.4104352204
202 -0.4076401928
209 -0.3984053055
228 -0.3940401198
231 -0.3906449316
243 -0.3862929504
245 -0.3834711850
253 -0.3818883678
262 -0.3784480787
265 -0.3701446433
299 -0.3631810827
301 -0.3612117415
327 -0.3605331524
373 -0.3602270256
383 -0.3529445431
407 -0.3481330116
408 -0.3411917983
414 -0.3399993681
434 -0.3362779046
452 -0.3325138116
470 -0.3318602465
489 -0.3246550617
499 -0.3128629069
664 -0.3123827869
