evaluations raw_y
1 -1478.0000000000
2 -1176.0000000000
5 -1108.0000000000
21 -1040.0000000000
22 -1030.0000000000
23 -962.0000000000
43 -865.0000000000
62 -826.0000000000
70 -787.0000000000
75 -758.0000000000
84 -719.0000000000
86 -680.0000000000
104 -670.0000000000
106 -651.0000000000
125 -612.0000000000
137 -583.0000000000
147 -554.0000000000
152 -496.0000000000
156 -467.0000000000
168 -457.0000000000
174 -428.0000000000
177 -399.0000000000
201 -360.0000000000
203 -321.0000000000
216 -311.0000000000
218 -282.0000000000
241 -253.0000000000
256 -224.0000000000
263 -195.0000000000
292 -185.0000000000
302 -156.0000000000
330 -137.0000000000
360 -118.0000000000
390 -90.0000000000
437 -71.0000000000
507 -52.0000000000
545 -43.0000000000
561 -34.0000000000
575 -33.0000000000
628 -32.0000000000
679 -31.0000000000
698 -12.0000000000
780 -3.0000000000
788 -2.0000000000
958 -1.0000000000
1007 0.0000000000
1379 9.0000000000
100000 -10.0000000000
evaluations raw_y
1 -1293.0000000000
2 -1166.0000000000
12 -952.0000000000
22 -933.0000000000
27 -923.0000000000
33 -816.0000000000
58 -777.0000000000
81 -748.0000000000
108 -709.0000000000
116 -670.0000000000
120 -631.0000000000
135 -602.0000000000
150 -563.0000000000
161 -524.0000000000
168 -485.0000000000
182 -446.0000000000
200 -427.0000000000
210 -398.0000000000
214 -369.0000000000
240 -340.0000000000
256 -311.0000000000
279 -292.0000000000
299 -263.0000000000
306 -224.0000000000
315 -205.0000000000
337 -176.0000000000
357 -167.0000000000
387 -148.0000000000
388 -147.0000000000
394 -119.0000000000
426 -100.0000000000
443 -99.0000000000
475 -70.0000000000
512 -41.0000000000
533 -32.0000000000
604 -23.0000000000
704 -14.0000000000
714 -13.0000000000
715 5.0000000000
751 6.0000000000
817 7.0000000000
840 8.0000000000
1051 9.0000000000
100000 9.0000000000
evaluations raw_y
1 -1400.0000000000
7 -1137.0000000000
16 -1069.0000000000
18 -1030.0000000000
31 -923.0000000000
32 -845.0000000000
44 -796.0000000000
52 -699.0000000000
63 -689.0000000000
70 -621.0000000000
76 -582.0000000000
81 -572.0000000000
84 -504.0000000000
95 -476.0000000000
100 -447.0000000000
106 -446.0000000000
111 -427.0000000000
130 -398.0000000000
133 -388.0000000000
136 -359.0000000000
153 -349.0000000000
164 -340.0000000000
165 -330.0000000000
184 -272.0000000000
192 -262.0000000000
198 -233.0000000000
215 -204.0000000000
238 -194.0000000000
247 -175.0000000000
255 -165.0000000000
263 -146.0000000000
265 -127.0000000000
315 -108.0000000000
330 -98.0000000000
348 -79.0000000000
360 -70.0000000000
405 -61.0000000000
445 -42.0000000000
469 -33.0000000000
499 -23.0000000000
526 -5.0000000000
562 -4.0000000000
661 -3.0000000000
703 -2.0000000000
804 7.0000000000
2530 8.0000000000
100000 -12.0000000000
evaluations raw_y
1 -1342.0000000000
4 -1274.0000000000
5 -1264.0000000000
10 -1206.0000000000
11 -1167.0000000000
13 -1137.0000000000
18 -972.0000000000
23 -962.0000000000
24 -894.0000000000
30 -845.0000000000
33 -767.0000000000
37 -699.0000000000
39 -621.0000000000
44 -466.0000000000
59 -427.0000000000
77 -398.0000000000
83 -388.0000000000
93 -359.0000000000
94 -340.0000000000
100 -272.0000000000
110 -253.0000000000
149 -224.0000000000
156 -195.0000000000
172 -176.0000000000
178 -147.0000000000
202 -127.0000000000
210 -99.0000000000
222 -90.0000000000
240 -80.0000000000
242 -71.0000000000
275 -62.0000000000
277 -43.0000000000
297 -42.0000000000
354 -32.0000000000
364 -23.0000000000
381 -14.0000000000
433 -4.0000000000
442 5.0000000000
446 6.0000000000
454 7.0000000000
615 8.0000000000
100000 -21.0000000000
evaluations raw_y
1 -1293.0000000000
6 -1263.0000000000
11 -1215.0000000000
15 -1011.0000000000
25 -962.0000000000
26 -923.0000000000
40 -894.0000000000
44 -836.0000000000
45 -826.0000000000
49 -797.0000000000
55 -787.0000000000
61 -690.0000000000
72 -612.0000000000
93 -583.0000000000
108 -544.0000000000
112 -525.0000000000
121 -515.0000000000
136 -505.0000000000
144 -495.0000000000
149 -476.0000000000
151 -466.0000000000
160 -447.0000000000
166 -418.0000000000
167 -388.0000000000
192 -369.0000000000
199 -330.0000000000
203 -321.0000000000
210 -311.0000000000
211 -302.0000000000
218 -292.0000000000
248 -263.0000000000
260 -244.0000000000
263 -195.0000000000
283 -176.0000000000
310 -166.0000000000
313 -157.0000000000
314 -147.0000000000
325 -108.0000000000
335 -99.0000000000
339 -90.0000000000
365 -71.0000000000
389 -52.0000000000
465 -51.0000000000
474 -42.0000000000
487 -23.0000000000
513 -22.0000000000
521 -5.0000000000
530 -4.0000000000
561 -3.0000000000
615 -2.0000000000
673 -1.0000000000
1205 8.0000000000
1297 9.0000000000
1521 10.0000000000
100000 -29.0000000000
evaluations raw_y
1 -1293.0000000000
4 -1274.0000000000
8 -1176.0000000000
14 -1030.0000000000
18 -942.0000000000
24 -874.0000000000
30 -796.0000000000
36 -757.0000000000
40 -708.0000000000
58 -679.0000000000
72 -640.0000000000
81 -631.0000000000
85 -573.0000000000
87 -553.0000000000
111 -524.0000000000
116 -485.0000000000
123 -427.0000000000
145 -398.0000000000
153 -369.0000000000
170 -340.0000000000
181 -292.0000000000
187 -282.0000000000
229 -243.0000000000
232 -224.0000000000
240 -205.0000000000
257 -186.0000000000
264 -176.0000000000
274 -157.0000000000
326 -128.0000000000
330 -99.0000000000
354 -70.0000000000
449 -61.0000000000
454 -60.0000000000
457 -51.0000000000
468 -33.0000000000
484 -24.0000000000
487 -23.0000000000
491 -15.0000000000
532 -6.0000000000
539 3.0000000000
577 4.0000000000
591 6.0000000000
607 7.0000000000
773 8.0000000000
100000 8.0000000000
evaluations raw_y
1 -1790.0000000000
2 -1430.0000000000
4 -1293.0000000000
5 -1147.0000000000
18 -1069.0000000000
21 -1030.0000000000
32 -1020.0000000000
36 -952.0000000000
41 -913.0000000000
53 -884.0000000000
54 -874.0000000000
65 -835.0000000000
71 -796.0000000000
77 -757.0000000000
89 -728.0000000000
95 -689.0000000000
104 -650.0000000000
117 -611.0000000000
128 -582.0000000000
140 -553.0000000000
161 -524.0000000000
163 -485.0000000000
176 -427.0000000000
189 -417.0000000000
190 -398.0000000000
194 -388.0000000000
234 -369.0000000000
245 -340.0000000000
275 -311.0000000000
285 -272.0000000000
308 -204.0000000000
328 -185.0000000000
377 -166.0000000000
378 -156.0000000000
396 -137.0000000000
431 -128.0000000000
