evaluations raw_y
1 5.4000000000
3 8.8000000000
7 9.0000000000
11 9.4000000000
27 9.8000000000
30 10.6000000000
37 11.0000000000
48 11.2000000000
56 11.6000000000
62 11.8000000000
72 12.0000000000
81 12.2000000000
86 12.4000000000
111 12.6000000000
117 12.8000000000
131 13.0000000000
139 13.2000000000
144 13.4000000000
155 13.6000000000
192 13.8000000000
223 14.0000000000
231 14.2000000000
289 14.4000000000
302 14.6000000000
336 14.8000000000
354 15.0000000000
437 15.2000000000
443 15.4000000000
476 15.6000000000
534 15.8000000000
551 16.2000000000
597 16.4000000000
1025 16.6000000000
1100 16.8000000000
1261 17.0000000000
100000 16.6000000000
evaluations raw_y
1 7.8000000000
9 8.6000000000
23 9.0000000000
28 9.8000000000
35 10.2000000000
42 10.4000000000
53 10.6000000000
63 11.2000000000
67 11.6000000000
72 11.8000000000
93 12.0000000000
106 12.2000000000
107 13.0000000000
110 13.2000000000
119 13.4000000000
130 13.6000000000
148 13.8000000000
226 14.0000000000
249 14.2000000000
262 14.4000000000
286 14.6000000000
305 14.8000000000
389 15.0000000000
403 15.4000000000
452 15.6000000000
486 15.8000000000
546 16.0000000000
680 16.2000000000
706 16.4000000000
736 16.6000000000
1001 16.8000000000
1318 17.0000000000
100000 16.8000000000
evaluations raw_y
1 6.4000000000
2 7.8000000000
5 8.0000000000
16 8.4000000000
18 8.8000000000
19 9.2000000000
25 10.2000000000
58 10.4000000000
76 10.6000000000
98 10.8000000000
118 11.0000000000
127 11.2000000000
139 11.4000000000
163 11.6000000000
178 11.8000000000
179 12.0000000000
203 12.2000000000
218 12.4000000000
233 12.6000000000
249 12.8000000000
264 13.0000000000
280 13.2000000000
303 13.4000000000
340 13.6000000000
354 13.8000000000
377 14.0000000000
414 14.2000000000
455 14.4000000000
488 14.6000000000
498 14.8000000000
603 15.0000000000
682 15.2000000000
844 15.4000000000
1151 15.6000000000
1190 15.8000000000
1779 16.0000000000
100000 15.4000000000
evaluations raw_y
1 7.6000000000
6 9.0000000000
16 10.2000000000
28 10.6000000000
30 10.8000000000
55 11.0000000000
69 11.2000000000
71 11.4000000000
121 11.6000000000
128 11.8000000000
145 12.0000000000
156 12.2000000000
183 12.4000000000
197 12.6000000000
211 12.8000000000
220 13.0000000000
250 13.2000000000
271 13.4000000000
280 13.6000000000
296 13.8000000000
319 14.0000000000
320 14.2000000000
352 14.4000000000
386 14.6000000000
392 14.8000000000
426 15.0000000000
467 15.4000000000
730 15.6000000000
743 15.8000000000
765 16.0000000000
1764 16.2000000000
100000 16.2000000000
evaluations raw_y
1 5.2000000000
2 8.0000000000
6 8.2000000000
17 9.2000000000
28 9.6000000000
41 9.8000000000
44 10.0000000000
56 10.2000000000
66 10.6000000000
86 10.8000000000
97 11.2000000000
101 11.4000000000
127 11.6000000000
129 11.8000000000
139 12.0000000000
147 12.2000000000
153 12.4000000000
164 12.6000000000
169 12.8000000000
180 13.0000000000
206 13.2000000000
227 13.4000000000
233 13.6000000000
250 13.8000000000
306 14.0000000000
329 14.2000000000
343 14.4000000000
366 14.6000000000
440 14.8000000000
453 15.0000000000
637 15.2000000000
657 15.4000000000
698 15.6000000000
983 15.8000000000
1239 16.0000000000
1423 16.2000000000
100000 16.0000000000
evaluations raw_y
1 7.2000000000
9 7.8000000000
12 8.4000000000
22 8.6000000000
23 9.0000000000
26 9.2000000000
29 10.4000000000
43 10.6000000000
54 11.2000000000
74 11.4000000000
89 12.0000000000
105 12.2000000000
112 12.4000000000
117 12.6000000000
138 12.8000000000
152 13.0000000000
179 13.2000000000
191 13.6000000000
198 13.8000000000
200 14.0000000000
248 14.2000000000
260 14.6000000000
297 14.8000000000
345 15.0000000000
376 15.2000000000
442 15.4000000000
500 15.6000000000
516 15.8000000000
536 16.0000000000
554 16.2000000000
595 16.4000000000
773 16.6000000000
100000 15.0000000000
evaluations raw_y
1 7.0000000000
2 7.4000000000
5 7.8000000000
7 8.4000000000
24 8.6000000000
25 9.4000000000
32 10.0000000000
35 10.4000000000
51 10.6000000000
55 10.8000000000
58 11.2000000000
123 11.4000000000
134 11.6000000000
143 12.0000000000
198 12.2000000000
217 12.4000000000
220 12.6000000000
239 13.2000000000
272 13.4000000000
292 13.6000000000
300 13.8000000000
320 14.0000000000
339 14.2000000000
401 14.4000000000
413 14.6000000000
540 14.8000000000
564 15.0000000000
724 15.2000000000
741 15.4000000000
769 15.6000000000
884 15.8000000000
1187 16.0000000000
1303 16.2000000000
100000 16.0000000000
evaluations raw_y
1 4.6000000000
2 7.4000000000
5 8.8000000000
21 9.2000000000
44 9.6000000000
51 9.8000000000
66 10.0000000000
70 10.2000000000
73 10.4000000000
86 10.6000000000
89 10.8000000000
100 11.0000000000
120 11.2000000000
135 11.6000000000
158 11.8000000000
163 12.0000000000
195 12.2000000000
205 12.6000000000
209 12.8000000000
219 13.0000000000
229 13.2000000000
251 13.6000000000
278 13.8000000000
297 14.0000000000
308 14.2000000000
341 14.4000000000
355 14.6000000000
411 14.8000000000
445 15.0000000000
498 15.2000000000
562 15.4000000000
601 15.6000000000
616 15.8000000000
651 16.0000000000
1308 16.2000000000
1784 16.4000000000
100000 16.2000000000
evaluations raw_y
1 8.0000000000
2 9.0000000000
18 9.2000000000
22 9.6000000000
26 10.0000000000
29 10.2000000000
32 10.8000000000
40 11.0000000000
55 11.2000000000
62 11.8000000000
81 12.0000000000
87 12.2000000000
102 12.4000000000
112 13.0000000000
158 13.2000000000
180 13.6000000000
193 13.8000000000
209 14.0000000000
217 14.2000000000
291 14.4000000000
316 14.6000000000
343 14.8000000000
415 15.0000000000
428 15.2000000000
432 15.4000000000
460 15.6000000000
500 15.8000000000
721 16.0000000000
985 16.2000000000
2428 16.4000000000
100000 16.4000000000
evaluations raw_y
1 6.4000000000
2 8.0000000000
4 8.6000000000
14 8.8000000000
26 9.8000000000
27 10.4000000000
37 10.8000000000
41 11.2000000000
54 11.4000000000
57 11.6000000000
70 11.8000000000
74 12.0000000000
89 12.2000000000
118 12.6000000000
125 12.8000000000
129 13.0000000000
136 13.2000000000
139 13.4000000000
180 13.6000000000
202 13.8000000000
211 14.0000000000
215 14.2000000000
231 14.4000000000
280 14.6000000000
293 14.8000000000
314 15.0000000000
353 15.2000000000
370 15.4000000000
435 15.6000000000
473 15.8000000000
495 16.0000000000
532 16.2000000000
557 16.4000000000
673 16.6000000000
926 16.8000000000
100000 16.6000000000
