evaluations raw_y
1 0.0000000000
2 2.1600000000
3 23.7400000000
4 30.7600000000
13 33.2100000000
14 53.3300000000
17 61.2300000000
24 75.2500000000
35 78.8200000000
44 92.3700000000
67 101.3400000000
101 115.5500000000
113 119.5700000000
251 130.3100000000
270 134.3500000000
483 142.4100000000
498 148.1200000000
519 152.5300000000
540 157.2500000000
549 169.4800000000
584 173.5900000000
827 314.9600000000
832 323.1200000000
838 332.9800000000
840 338.1600000000
856 338.4600000000
870 350.4600000000
904 429.8300000000
907 449.6700000000
992 450.5600000000
1028 463.7700000000
1401 466.5200000000
2155 471.7200000000
3341 473.6000000000
3400 474.9000000000
4179 475.0000000000
4460 475.2000000000
4559 477.0500000000
4701 484.0400000000
4748 488.6000000000
4785 499.1800000000
4807 593.5300000000
6381 595.4500000000
6469 595.9500000000
6485 605.7000000000
6554 608.2700000000
6683 609.1900000000
6775 614.5500000000
7057 622.7300000000
7491 629.6000000000
7595 629.7900000000
7720 646.7100000000
12559 651.1700000000
13941 652.9600000000
14073 664.7200000000
16902 665.0000000000
16945 665.0100000000
17849 673.4600000000
18257 677.3300000000
19415 680.6500000000
22057 750.5500000000
22063 763.4800000000
22076 763.8300000000
22199 772.9700000000
23018 783.3000000000
31352 800.6800000000
40187 802.8900000000
40911 811.5800000000
54841 814.7000000000
59182 826.9600000000
60529 829.5900000000
60549 832.4400000000
60754 832.8300000000
60881 834.2700000000
61567 842.5000000000
66244 848.5800000000
100000 37.2200000000
evaluations raw_y
1 0.0000000000
2 3.0500000000
3 10.2600000000
4 22.1000000000
7 26.2500000000
8 45.9300000000
12 45.9600000000
15 54.1100000000
16 56.1400000000
22 65.5600000000
26 91.9000000000
31 94.3400000000
33 97.8300000000
39 102.8000000000
41 107.6900000000
46 113.1600000000
79 121.3700000000
93 123.4400000000
116 125.2300000000
147 131.2100000000
173 153.3700000000
384 160.0000000000
433 171.5700000000
563 191.8600000000
584 215.4600000000
595 239.7100000000
618 246.1200000000
696 246.9300000000
703 248.3400000000
972 285.8100000000
1467 384.6500000000
1518 394.2600000000
1521 396.0700000000
1565 408.2100000000
2243 412.7800000000
2891 414.1000000000
3148 427.5500000000
5024 482.6800000000
6312 532.8100000000
7125 541.2600000000
8347 551.2400000000
8382 559.0700000000
8806 561.4900000000
9542 563.3100000000
11999 567.4500000000
16158 579.4800000000
21251 579.6900000000
24548 586.5000000000
25068 591.9400000000
25781 603.6900000000
26031 607.6800000000
26959 623.2400000000
30035 648.9800000000
30050 672.5200000000
30051 695.1500000000
30622 703.2800000000
33970 707.9000000000
34869 761.3800000000
37426 769.2400000000
37530 778.4300000000
37643 780.9300000000
37918 782.4000000000
38061 784.1700000000
40876 784.2300000000
41718 784.6500000000
42086 786.3100000000
50434 790.0300000000
60315 791.9700000000
62697 793.6900000000
64419 806.4400000000
64531 811.8500000000
64594 816.4500000000
64670 818.3400000000
65271 820.7700000000
65560 824.1000000000
66020 828.0700000000
70283 834.0300000000
70284 861.8400000000
71653 866.1600000000
82276 870.2200000000
96470 879.2300000000
100000 719.7000000000
evaluations raw_y
1 0.0000000000
2 9.3300000000
3 28.3800000000
11 65.1400000000
12 69.9900000000
19 73.6900000000
29 75.0200000000
35 131.7400000000
55 147.6300000000
170 148.5000000000
359 154.8600000000
423 158.2000000000
592 158.8400000000
666 174.2000000000
794 175.0800000000
957 200.6700000000
960 211.9700000000
964 215.3500000000
969 224.5100000000
1006 231.3200000000
1013 245.3700000000
1057 262.9500000000
1184 263.1500000000
1194 272.8800000000
1203 279.1100000000
1209 279.9100000000
1307 280.6500000000
1388 290.2300000000
1418 296.7500000000
1484 299.1700000000
1663 299.6900000000
1941 438.9100000000
1944 447.2100000000
1951 452.8900000000
1982 457.3700000000
1991 460.4300000000
2080 466.2100000000
2210 468.8500000000
2453 471.0300000000
2862 472.4700000000
3559 475.9400000000
3568 480.7100000000
3651 485.4200000000
3682 490.4600000000
3695 490.7200000000
3732 495.7400000000
3781 496.0700000000
3958 496.7700000000
3992 508.1300000000
3998 523.4800000000
9847 648.5600000000
9867 652.6200000000
10092 653.9500000000
10235 663.2700000000
11193 666.4900000000
12260 668.2000000000
18248 670.2500000000
23394 672.9000000000
25256 676.2300000000
26104 681.2400000000
32892 683.4200000000
33055 696.2600000000
36914 697.4400000000
36915 698.2000000000
36953 698.6600000000
37062 707.2300000000
43484 709.4100000000
46305 709.8100000000
46442 711.9500000000
