evaluations raw_y
1 1.6244314490
15 1.6655562958
33 1.6857720836
36 1.7018379850
37 1.7182130584
42 1.8782870023
73 1.8925056775
74 1.9888623707
81 2.0920502092
82 2.2789425706
122 2.4437927664
125 2.4679170780
174 2.4727992087
308 2.5025025025
333 2.6567481403
341 2.7442371021
374 2.8901734104
376 2.9515938607
389 3.0012004802
401 3.0084235860
410 3.0303030303
643 3.1446540881
687 3.1525851198
884 3.2092426187
1004 3.2765399738
1434 3.3557046980
1514 3.4387895461
1578 3.4867503487
1675 3.6179450072
1839 3.6927621861
2388 3.7821482602
2693 3.8402457757
2812 3.9246467818
3756 4.0650406504
3917 4.2735042735
4043 4.5045045045
4109 4.9900199601
100000 4.1736227045
evaluations raw_y
1 1.0688328345
2 1.2506253127
3 1.3376136972
11 1.3804527885
17 1.5576323988
19 1.5713387806
25 1.6458196182
34 1.8642803878
42 1.9215987702
51 2.0508613618
72 2.1987686895
87 2.2261798753
116 2.5853154085
138 2.6014568158
140 2.6968716289
375 2.7563395810
404 2.8121484814
417 2.9239766082
425 3.1367628607
475 3.1446540881
492 3.1685678074
722 3.5161744023
12613 3.6603221083
13859 3.8402457757
100000 3.8402457757
evaluations raw_y
1 1.0490977759
6 1.1441647597
8 1.2709710219
14 1.4261266400
16 1.5216068168
23 1.5954052329
29 1.7205781142
35 1.7568517217
42 1.7793594306
55 1.8181818182
58 1.8896447468
92 2.1240441801
106 2.2747952684
108 2.3299161230
111 2.4390243902
118 2.4533856722
129 2.6123301985
250 2.7144408252
391 2.7322404372
424 2.9103608847
427 3.1055900621
435 3.1766200762
527 3.4482758621
583 3.4674063800
684 3.6603221083
1142 3.7821482602
3774 3.9246467818
4021 4.0128410915
4123 4.0257648953
20106 4.1597337770
100000 2.8184892897
evaluations raw_y
1 0.7785736531
4 0.8364001338
7 0.9181050312
12 1.0517458982
16 1.1348161598
18 1.3290802764
20 1.3333333333
22 1.4662756598
23 1.4784151390
26 1.5499070056
35 1.5792798484
37 1.7018379850
46 1.7642907551
75 1.9731649566
87 1.9825535289
126 2.0048115477
129 2.2542831380
147 2.2747952684
151 2.2872827081
205 2.4533856722
213 2.4777006938
223 2.5536261491
236 2.6343519494
285 2.7624309392
290 2.7808676307
306 3.0012004802
332 3.0229746070
373 3.0674846626
583 3.3647375505
600 3.6710719530
796 3.6818851252
869 3.8520801233
100000 3.8520801233
evaluations raw_y
1 1.2048192771
3 1.2468827930
16 1.2893243940
19 1.3304949441
32 1.3850415512
52 1.6589250166
56 1.6789791807
59 1.6903313049
67 1.7253278123
74 1.7421602787
88 1.7895490336
97 1.7946877243
100 1.7998560115
115 1.8024513338
116 1.8129079043
118 2.0080321285
123 2.0542317173
129 2.1061499579
130 2.2624434389
134 2.2914757104
143 2.3299161230
150 2.5125628141
156 2.6123301985
204 2.8184892897
251 2.8248587571
268 2.9515938607
283 3.0599755202
315 3.2851511170
369 3.5360678925
421 3.9001560062
1590 3.9745627981
5226 4.1322314050
5351 4.1736227045
100000 3.3557046980
evaluations raw_y
1 0.8635578584
3 0.9087604507
5 0.9656237930
6 1.1504832029
10 1.3376136972
14 1.5913430936
16 1.5933715743
18 1.5954052329
22 1.6523463318
23 1.6812373907
25 2.0210185934
29 2.0781379884
41 2.1097046414
42 2.1276595745
50 2.2789425706
98 2.3696682464
118 2.4201355276
124 2.5641025641
135 2.6455026455
204 3.0376670717
220 3.4293552812
228 3.4770514604
321 3.5460992908
524 3.6603221083
2384 3.6927621861
2489 3.7037037037
2941 3.7147102526
3066 3.7257824143
10574 3.7936267071
17321 3.9370078740
18254 3.9619651347
18285 4.0257648953
18360 4.2301184433
100000 3.2851511170
evaluations raw_y
1 1.2735608762
9 1.2748597654
20 1.2774655084
25 1.2919896641
31 1.3376136972
35 1.3989927252
37 1.5309246785
39 1.5499070056
41 1.6160310278
42 1.6567263088
44 1.6589250166
45 1.7998560115
55 1.9305019305
87 1.9364833462
104 1.9394879752
114 1.9794140934
138 1.9984012790
144 2.1240441801
179 2.2747952684
180 2.2872827081
184 2.3786869648
210 2.4975024975
212 2.5227043391
215 2.5278058645
227 2.6511134677
233 2.7027027027
283 2.9797377831
357 3.0599755202
423 3.1605562579
435 3.3200531208
571 3.4199726402
1413 3.5663338088
21651 3.8520801233
21816 3.9370078740
32104 4.0387722132
32398 4.0783034258
32399 4.1736227045
32576 4.2158516020
32582 4.3478260870
32603 4.3936731107
62937 4.5207956600
63058 4.7080979284
100000 4.7080979284
evaluations raw_y
1 0.7244277021
2 0.8124796880
3 0.8837044892
4 0.9545628102
5 1.0979358805
8 1.1865211201
10 1.2632642749
12 1.4560279557
13 1.4645577036
28 1.5733165513
46 1.6223231668
50 1.6995241332
57 1.7998560115
69 1.8181818182
79 1.8208302986
81 1.8642803878
85 1.9305019305
86 1.9334880124
