evaluations raw_y
1 -0.4957464279
11 -0.4893742481
12 -0.4641779190
30 -0.4630693426
47 -0.4491177966
72 -0.4419023931
88 -0.4364208765
196 -0.4351229364
200 -0.4328686871
210 -0.4319409563
223 -0.4313546636
240 -0.4197479616
279 -0.4164129931
294 -0.4102315994
312 -0.4054700088
353 -0.4029171943
354 -0.3963026855
361 -0.3869768807
420 -0.3856137284
457 -0.3770755272
475 -0.3763053248
535 -0.3744200179
550 -0.3692441298
580 -0.3688736507
591 -0.3678936655
616 -0.3569088574
659 -0.3540767474
706 -0.3540525299
753 -0.3477427118
801 -0.3421926620
860 -0.3414516446
915 -0.3366401131
986 -0.3325870321
1023 -0.3299985482
1094 -0.3280731445
1123 -0.3258264897
1143 -0.3254846606
1180 -0.3251304389
1218 -0.3221949514
1241 -0.3205306720
1247 -0.3201764503
1281 -0.3198346212
1420 -0.3125521387
1519 -0.3119355565
1661 -0.3092814264
1712 -0.3089498524
1815 -0.3070929753
1830 -0.3060015953
1947 -0.3006819595
1989 -0.3006735743
2848 -0.3001934543
8008 -0.2967157260
16199 -0.2920664943
100000 -0.2958305872
evaluations raw_y
1 -0.4633439315
19 -0.4540559302
59 -0.4420992692
124 -0.4395218340
137 -0.4324336266
164 -0.4308343242
175 -0.4185447722
197 -0.4138781745
229 -0.4057308296
241 -0.3969797279
273 -0.3968519541
293 -0.3917297818
313 -0.3870471999
383 -0.3846771625
391 -0.3792399237
398 -0.3773982413
440 -0.3749626840
470 -0.3722064990
477 -0.3685322589
526 -0.3673797166
538 -0.3619378257
586 -0.3616263499
594 -0.3614870103
600 -0.3596196195
655 -0.3594998650
668 -0.3578775618
699 -0.3578167381
742 -0.3577717716
747 -0.3536504863
756 -0.3498045153
772 -0.3447839994
780 -0.3431477318
851 -0.3414987986
900 -0.3365102372
967 -0.3349083326
998 -0.3300338969
1039 -0.3266258066
1155 -0.3261603867
1191 -0.3249439003
1226 -0.3244438481
1251 -0.3200952978
1372 -0.3196806524
1451 -0.3184882222
1528 -0.3166172030
1569 -0.3162931647
1853 -0.3158130447
2170 -0.3151964624
2209 -0.3145827545
2280 -0.3139661723
2332 -0.3138204568
2342 -0.3132038745
3107 -0.3117456770
3175 -0.3116886142
4839 -0.3070393824
7875 -0.3061224465
7953 -0.3059155370
8578 -0.3020308564
29300 -0.3019130489
29481 -0.3000166118
29495 -0.2965538531
100000 -0.2965538531
evaluations raw_y
1 -0.4975868444
4 -0.4922655547
5 -0.4866594756
7 -0.4506228741
31 -0.4484280670
60 -0.4019041439
143 -0.3979614742
168 -0.3884319390
207 -0.3876443427
226 -0.3737040806
283 -0.3688086070
289 -0.3670548434
313 -0.3665588918
317 -0.3656825626
322 -0.3647138991
368 -0.3580781809
401 -0.3545306291
489 -0.3499779612
492 -0.3449755805
532 -0.3449637654
587 -0.3447094406
593 -0.3389275214
622 -0.3366315861
634 -0.3334838138
671 -0.3331802051
712 -0.3301063158
769 -0.3293963807
807 -0.3268471943
848 -0.3264830757
890 -0.3256547641
954 -0.3249882877
956 -0.3243605432
999 -0.3242120377
1016 -0.3237983715
1020 -0.3235322316
1086 -0.3233837261
1122 -0.3231175862
1127 -0.3218503253
1139 -0.3195932941
1197 -0.3183260332
1389 -0.3170018294
1451 -0.3167949199
1453 -0.3163353530
1548 -0.3149155362
1576 -0.3092174972
1629 -0.3076959588
1689 -0.3066869469
1798 -0.3066785618
1814 -0.3062068269
1902 -0.3061984418
1951 -0.3049765367
1996 -0.3049681516
2248 -0.3047612420
2359 -0.3040127464
2387 -0.2990587579
18958 -0.2989409503
