evaluations raw_y
1 -0.5338163910
2 -0.5137705382
4 -0.4605308014
14 -0.4549472770
28 -0.4513976335
33 -0.4512686921
35 -0.4486961140
38 -0.4457276265
44 -0.4448782311
48 -0.4358481096
55 -0.4335603573
62 -0.4335045534
63 -0.4268091601
66 -0.4139904924
79 -0.4104569551
88 -0.4085275973
99 -0.4068786640
102 -0.4026631645
108 -0.3981792163
113 -0.3950865092
116 -0.3931031733
118 -0.3927261790
124 -0.3909020388
129 -0.3896785141
145 -0.3893544758
147 -0.3847776780
149 -0.3811545231
164 -0.3784425872
175 -0.3766184470
203 -0.3728543541
204 -0.3728387000
262 -0.3685169684
265 -0.3666977431
269 -0.3623760115
295 -0.3586894528
311 -0.3547930445
316 -0.3524852940
328 -0.3510289515
333 -0.3487212011
346 -0.3481513171
376 -0.3432504810
397 -0.3387061486
416 -0.3298269542
443 -0.3280555752
452 -0.3277137461
492 -0.3255086317
509 -0.3250689024
568 -0.3242754466
581 -0.3242670614
629 -0.3241958186
633 -0.3202017965
688 -0.3190607300
705 -0.3153273608
712 -0.3142612861
762 -0.3134456413
790 -0.3130309960
1227 -0.3117067922
1414 -0.3083814348
1539 -0.3079013148
3802 -0.3077835073
8683 -0.3069975849
8817 -0.3063736249
8826 -0.3058276070
8830 -0.3042608740
8836 -0.3035282417
8842 -0.3035198566
31825 -0.3016811717
53661 -0.2987329146
62726 -0.2974069167
100000 -0.3014599977
evaluations raw_y
1 -0.5318163899
2 -0.5282324731
4 -0.5221576613
7 -0.4872067247
16 -0.4736778109
20 -0.4489816624
29 -0.4383256917
38 -0.4261122246
43 -0.4238675431
50 -0.4102636553
63 -0.4033752318
68 -0.3991502125
69 -0.3943688554
95 -0.3939680414
99 -0.3917373251
106 -0.3843428544
114 -0.3779652111
142 -0.3775505657
148 -0.3758683407
152 -0.3725429833
184 -0.3701826531
192 -0.3686516767
206 -0.3615402413
216 -0.3615308898
235 -0.3595476039
236 -0.3539165097
242 -0.3530168674
244 -0.3510459815
247 -0.3499692024
258 -0.3491639856
263 -0.3477112725
265 -0.3348087506
279 -0.3345026237
290 -0.3337616064
315 -0.3319586539
332 -0.3252683396
379 -0.3242593277
403 -0.3235632769
420 -0.3223329867
442 -0.3174881321
535 -0.3137240391
572 -0.3116015066
745 -0.3115931215
840 -0.3104006913
869 -0.3053783090
884 -0.3048981890
1010 -0.3033672126
1485 -0.3018519523
8182 -0.3004917547
11821 -0.3003739471
11934 -0.2950147514
16662 -0.2934240939
16674 -0.2926830765
17735 -0.2920664943
100000 -0.2930675346
evaluations raw_y
1 -0.5278689353
2 -0.5110953593
4 -0.4848775046
7 -0.4348117934
12 -0.4307950624
19 -0.4236746370
22 -0.4123097360
27 -0.3954083528
28 -0.3893542744
44 -0.3791814673
47 -0.3766874004
59 -0.3759093088
70 -0.3755084948
72 -0.3695939619
85 -0.3622598900
95 -0.3614817984
113 -0.3577603348
126 -0.3577519496
138 -0.3554000046
150 -0.3553916195
152 -0.3550684306
154 -0.3550600454
157 -0.3545818577
176 -0.3531078632
193 -0.3515888761
204 -0.3501148815
225 -0.3462953241
