evaluations raw_y
1 53.0000000000
2 54.0000000000
5 56.0000000000
8 60.0000000000
19 67.0000000000
94 68.0000000000
123 73.0000000000
129 74.0000000000
188 76.0000000000
213 78.0000000000
243 79.0000000000
275 80.0000000000
300 82.0000000000
367 83.0000000000
382 84.0000000000
393 85.0000000000
451 86.0000000000
521 87.0000000000
554 88.0000000000
614 89.0000000000
661 90.0000000000
776 92.0000000000
961 93.0000000000
1078 94.0000000000
1165 95.0000000000
1252 96.0000000000
1529 97.0000000000
1659 98.0000000000
1933 99.0000000000
3550 100.0000000000
100000 100.0000000000
evaluations raw_y
1 45.0000000000
2 47.0000000000
9 53.0000000000
11 54.0000000000
18 60.0000000000
26 61.0000000000
72 63.0000000000
101 65.0000000000
136 66.0000000000
149 69.0000000000
181 71.0000000000
201 74.0000000000
232 76.0000000000
320 77.0000000000
342 78.0000000000
358 79.0000000000
395 81.0000000000
441 84.0000000000
545 85.0000000000
569 86.0000000000
696 87.0000000000
698 88.0000000000
856 89.0000000000
972 90.0000000000
1058 92.0000000000
1130 93.0000000000
1211 94.0000000000
1266 95.0000000000
1549 96.0000000000
1682 97.0000000000
1916 98.0000000000
2191 99.0000000000
2597 100.0000000000
100000 100.0000000000
evaluations raw_y
1 45.0000000000
3 56.0000000000
9 57.0000000000
36 59.0000000000
39 62.0000000000
49 68.0000000000
101 72.0000000000
173 76.0000000000
200 78.0000000000
266 79.0000000000
330 80.0000000000
353 83.0000000000
431 85.0000000000
457 86.0000000000
546 87.0000000000
566 88.0000000000
664 89.0000000000
711 90.0000000000
785 91.0000000000
868 93.0000000000
1033 94.0000000000
1065 95.0000000000
1358 96.0000000000
1489 97.0000000000
1726 98.0000000000
1933 99.0000000000
2049 100.0000000000
100000 100.0000000000
evaluations raw_y
1 43.0000000000
2 49.0000000000
4 55.0000000000
6 57.0000000000
11 60.0000000000
20 61.0000000000
35 63.0000000000
68 65.0000000000
70 66.0000000000
105 68.0000000000
128 71.0000000000
199 75.0000000000
273 76.0000000000
335 78.0000000000
357 80.0000000000
407 81.0000000000
424 82.0000000000
447 83.0000000000
496 85.0000000000
517 86.0000000000
568 87.0000000000
594 88.0000000000
603 89.0000000000
734 90.0000000000
845 91.0000000000
898 92.0000000000
976 93.0000000000
1057 94.0000000000
1245 95.0000000000
1307 96.0000000000
1391 97.0000000000
1525 98.0000000000
1917 99.0000000000
2189 100.0000000000
100000 100.0000000000
evaluations raw_y
1 41.0000000000
2 45.0000000000
3 52.0000000000
11 56.0000000000
15 59.0000000000
44 68.0000000000
184 69.0000000000
213 70.0000000000
214 71.0000000000
216 72.0000000000
253 73.0000000000
338 75.0000000000
396 76.0000000000
417 77.0000000000
428 79.0000000000
456 80.0000000000
481 81.0000000000
525 82.0000000000
586 83.0000000000
658 84.0000000000
661 85.0000000000
805 86.0000000000
844 87.0000000000
879 88.0000000000
948 89.0000000000
988 90.0000000000
1046 91.0000000000
1085 92.0000000000
1152 93.0000000000
1281 94.0000000000
1512 95.0000000000
1692 96.0000000000
1813 97.0000000000
1965 98.0000000000
2130 99.0000000000
2584 100.0000000000
100000 100.0000000000
evaluations raw_y
1 52.0000000000
2 53.0000000000
7 63.0000000000
41 67.0000000000
104 68.0000000000
135 69.0000000000
147 70.0000000000
184 71.0000000000
189 72.0000000000
203 73.0000000000
251 77.0000000000
289 80.0000000000
383 81.0000000000
387 82.0000000000
435 84.0000000000
500 85.0000000000
520 86.0000000000
555 87.0000000000
579 88.0000000000
595 89.0000000000
637 90.0000000000
824 92.0000000000
903 94.0000000000
1161 95.0000000000
1305 96.0000000000
1491 97.0000000000
1718 98.0000000000
2058 99.0000000000
2216 100.0000000000
100000 99.0000000000
evaluations raw_y
1 48.0000000000
2 56.0000000000
15 63.0000000000
16 68.0000000000
165 69.0000000000
170 71.0000000000
241 72.0000000000
267 75.0000000000
321 77.0000000000
382 78.0000000000
404 80.0000000000
502 81.0000000000
561 82.0000000000
626 83.0000000000
704 84.0000000000
747 85.0000000000
799 86.0000000000
841 87.0000000000
866 89.0000000000
1090 90.0000000000
1232 91.0000000000
1294 92.0000000000
1377 93.0000000000
1602 94.0000000000
1682 95.0000000000
1793 96.0000000000
1959 97.0000000000
2103 98.0000000000
2254 99.0000000000
2373 100.0000000000
100000 100.0000000000
evaluations raw_y
1 41.0000000000
2 58.0000000000
37 59.0000000000
49 63.0000000000
80 64.0000000000
103 66.0000000000
153 68.0000000000
155 69.0000000000
167 70.0000000000
224 71.0000000000
225 72.0000000000
241 74.0000000000
267 75.0000000000
295 76.0000000000
319 77.0000000000
322 78.0000000000
349 83.0000000000
376 84.0000000000
476 86.0000000000
534 87.0000000000
604 88.0000000000
617 89.0000000000
662 90.0000000000
735 91.0000000000
808 92.0000000000
973 93.0000000000
1035 94.0000000000
1044 95.0000000000
1123 96.0000000000
1174 97.0000000000
1352 98.0000000000
1447 99.0000000000
2000 100.0000000000
100000 100.0000000000
evaluations raw_y
1 48.0000000000
2 52.0000000000
6 58.0000000000
31 61.0000000000
52 64.0000000000
112 66.0000000000
126 67.0000000000
135 68.0000000000
175 69.0000000000
176 70.0000000000
192 73.0000000000
254 74.0000000000
279 75.0000000000
316 76.0000000000
333 78.0000000000
348 79.0000000000
396 80.0000000000
439 81.0000000000
463 82.0000000000
488 83.0000000000
567 84.0000000000
629 85.0000000000
663 86.0000000000
679 87.0000000000
756 89.0000000000
836 90.0000000000
895 91.0000000000
911 92.0000000000
1031 93.0000000000
1120 94.0000000000
1141 95.0000000000
1274 96.0000000000
1588 97.0000000000
1867 98.0000000000
2576 99.0000000000
3873 100.0000000000
100000 98.0000000000
evaluations raw_y
1 46.0000000000
2 48.0000000000
7 50.0000000000
11 54.0000000000
23 57.0000000000
25 63.0000000000
90 64.0000000000
107 69.0000000000
134 70.0000000000
172 73.0000000000
226 75.0000000000
234 76.0000000000
272 77.0000000000
307 78.0000000000
312 80.0000000000
395 82.0000000000
435 83.0000000000
487 84.0000000000
505 86.0000000000
594 87.0000000000
769 88.0000000000
857 89.0000000000
872 90.0000000000
880 91.0000000000
993 93.0000000000
1145 94.0000000000
1305 95.0000000000
1440 96.0000000000
1483 97.0000000000
1578 98.0000000000
1733 99.0000000000
2597 100.0000000000
100000 99.0000000000
