evaluations raw_y
1 0.0000000000
2 4.0000000000
10 5.0000000000
29 6.0000000000
67 10.0000000000
96 13.0000000000
194 14.0000000000
247 15.0000000000
344 17.0000000000
405 21.0000000000
711 22.0000000000
799 23.0000000000
958 24.0000000000
1036 26.0000000000
1131 27.0000000000
1180 30.0000000000
1755 31.0000000000
1798 32.0000000000
1941 33.0000000000
2072 34.0000000000
2634 35.0000000000
2815 37.0000000000
3081 39.0000000000
3250 40.0000000000
3285 41.0000000000
3374 42.0000000000
3478 45.0000000000
3565 46.0000000000
3756 48.0000000000
4308 49.0000000000
4485 50.0000000000
4544 51.0000000000
5315 54.0000000000
5825 56.0000000000
6292 57.0000000000
6425 59.0000000000
6779 61.0000000000
6854 62.0000000000
7023 64.0000000000
7269 65.0000000000
7701 66.0000000000
8005 68.0000000000
8204 71.0000000000
8369 72.0000000000
8524 74.0000000000
8793 75.0000000000
9273 76.0000000000
9784 78.0000000000
9895 79.0000000000
10157 80.0000000000
10449 81.0000000000
10626 83.0000000000
10818 87.0000000000
10962 88.0000000000
11558 90.0000000000
11714 92.0000000000
11967 93.0000000000
12376 95.0000000000
12735 96.0000000000
12847 99.0000000000
13017 100.0000000000
100000 100.0000000000
evaluations raw_y
1 0.0000000000
2 4.0000000000
4 10.0000000000
86 14.0000000000
204 23.0000000000
399 24.0000000000
462 26.0000000000
542 27.0000000000
669 29.0000000000
781 32.0000000000
1485 33.0000000000
1726 36.0000000000
1940 37.0000000000
2031 39.0000000000
2163 40.0000000000
2304 44.0000000000
2482 46.0000000000
2642 51.0000000000
2795 52.0000000000
2859 53.0000000000
3085 54.0000000000
3224 60.0000000000
3506 61.0000000000
3621 62.0000000000
3803 63.0000000000
3884 67.0000000000
4049 68.0000000000
4145 70.0000000000
4316 71.0000000000
4549 72.0000000000
5299 74.0000000000
6471 75.0000000000
6570 80.0000000000
6994 84.0000000000
7391 85.0000000000
8023 88.0000000000
8057 89.0000000000
8415 91.0000000000
8465 93.0000000000
8937 94.0000000000
9035 95.0000000000
9222 100.0000000000
100000 82.0000000000
evaluations raw_y
1 0.0000000000
2 1.0000000000
5 2.0000000000
6 4.0000000000
38 5.0000000000
119 7.0000000000
120 9.0000000000
167 10.0000000000
187 12.0000000000
224 13.0000000000
391 14.0000000000
669 17.0000000000
830 18.0000000000
1106 19.0000000000
1263 21.0000000000
1695 24.0000000000
2129 28.0000000000
2163 29.0000000000
2243 30.0000000000
2441 32.0000000000
2546 34.0000000000
2715 37.0000000000
3088 38.0000000000
3337 39.0000000000
3499 40.0000000000
3540 42.0000000000
3641 43.0000000000
3852 44.0000000000
3980 46.0000000000
4205 50.0000000000
4436 51.0000000000
4725 52.0000000000
4881 53.0000000000
5538 55.0000000000
5656 56.0000000000
5805 58.0000000000
6122 63.0000000000
6229 64.0000000000
6407 66.0000000000
7040 68.0000000000
7187 69.0000000000
8131 70.0000000000
8394 74.0000000000
8533 76.0000000000
8707 77.0000000000
9146 78.0000000000
9429 79.0000000000
9779 81.0000000000
10397 86.0000000000
10497 90.0000000000
10695 92.0000000000
11137 93.0000000000
11171 95.0000000000
11258 96.0000000000
11487 97.0000000000
11616 98.0000000000
12270 99.0000000000
12330 100.0000000000
100000 56.0000000000
evaluations raw_y
1 2.0000000000
23 3.0000000000
28 7.0000000000
70 8.0000000000
86 10.0000000000
143 13.0000000000
217 14.0000000000
295 16.0000000000
362 22.0000000000
429 23.0000000000
452 25.0000000000
805 26.0000000000
968 27.0000000000
1234 28.0000000000
1606 29.0000000000
1989 31.0000000000
2039 32.0000000000
2389 33.0000000000
2716 34.0000000000
2891 35.0000000000
3015 36.0000000000
3195 38.0000000000
3297 40.0000000000
3623 43.0000000000
3910 45.0000000000
4144 46.0000000000
4176 48.0000000000
4255 50.0000000000
4361 54.0000000000
4720 56.0000000000
4882 57.0000000000
4960 58.0000000000
5035 59.0000000000
5422 65.0000000000
6006 68.0000000000
6085 70.0000000000
6432 72.0000000000
6586 73.0000000000
6821 77.0000000000
6976 78.0000000000
7947 80.0000000000
8119 81.0000000000
8312 82.0000000000
8789 83.0000000000
9081 84.0000000000
9187 85.0000000000
9472 86.0000000000
9728 87.0000000000
9916 92.0000000000
10061 94.0000000000
10444 95.0000000000
11324 97.0000000000
11687 100.0000000000
100000 18.0000000000
evaluations raw_y
1 1.0000000000
2 3.0000000000
8 7.0000000000
112 8.0000000000
117 12.0000000000
228 13.0000000000
451 17.0000000000
523 18.0000000000
704 26.0000000000
1008 31.0000000000
1189 33.0000000000
1340 36.0000000000
1429 37.0000000000
1469 38.0000000000
1722 40.0000000000
2105 41.0000000000
2265 42.0000000000
2403 44.0000000000
2843 45.0000000000
3195 49.0000000000
3455 52.0000000000
3561 56.0000000000
3831 57.0000000000
4112 65.0000000000
4212 66.0000000000
4456 69.0000000000
4702 71.0000000000
4806 72.0000000000
4849 74.0000000000
5472 78.0000000000
5686 79.0000000000
6091 80.0000000000
6526 81.0000000000
6901 86.0000000000
7408 87.0000000000
7584 89.0000000000
7865 90.0000000000
7889 92.0000000000
8438 95.0000000000
8865 96.0000000000
9120 98.0000000000
9619 100.0000000000
100000 100.0000000000
evaluations raw_y
1 0.0000000000
3 6.0000000000
43 8.0000000000
135 9.0000000000
191 10.0000000000
198 11.0000000000
206 14.0000000000
239 18.0000000000
278 21.0000000000
326 23.0000000000
397 24.0000000000
481 28.0000000000
603 29.0000000000
896 30.0000000000
1127 33.0000000000
1311 34.0000000000
1388 37.0000000000
1472 38.0000000000
1539 39.0000000000
1767 40.0000000000
1844 41.0000000000
2096 44.0000000000
2201 45.0000000000
2476 47.0000000000
2856 49.0000000000
3123 52.0000000000
3234 54.0000000000
3352 55.0000000000
3655 57.0000000000
3705 62.0000000000
3741 63.0000000000
4098 65.0000000000
4364 66.0000000000
4546 68.0000000000
4764 70.0000000000
5006 72.0000000000
5291 79.0000000000
5430 80.0000000000
6626 83.0000000000
6763 84.0000000000
7028 85.0000000000
7355 86.0000000000
7891 88.0000000000
8338 92.0000000000
8699 93.0000000000
8968 94.0000000000
9048 95.0000000000
