evaluations raw_y
1 1.0000000000
4 5.0000000000
42 7.0000000000
255 9.0000000000
288 11.0000000000
300 12.0000000000
371 13.0000000000
501 14.0000000000
823 15.0000000000
829 16.0000000000
1142 17.0000000000
1406 19.0000000000
1566 24.0000000000
1881 25.0000000000
2037 26.0000000000
2121 29.0000000000
2285 32.0000000000
2696 33.0000000000
2825 34.0000000000
2848 35.0000000000
3291 36.0000000000
3497 39.0000000000
3518 40.0000000000
3562 42.0000000000
3732 45.0000000000
3807 46.0000000000
3875 47.0000000000
4096 48.0000000000
4154 51.0000000000
4539 57.0000000000
4586 58.0000000000
5127 59.0000000000
5550 60.0000000000
5648 64.0000000000
5692 65.0000000000
5878 66.0000000000
5929 71.0000000000
6106 74.0000000000
6225 76.0000000000
6246 78.0000000000
6275 81.0000000000
6351 84.0000000000
6719 87.0000000000
6770 89.0000000000
7065 90.0000000000
7145 91.0000000000
7179 93.0000000000
7256 97.0000000000
7327 98.0000000000
7346 99.0000000000
7793 100.0000000000
100000 44.0000000000
evaluations raw_y
1 2.0000000000
2 3.0000000000
6 4.0000000000
17 9.0000000000
24 10.0000000000
53 12.0000000000
456 16.0000000000
521 17.0000000000
626 19.0000000000
759 20.0000000000
794 23.0000000000
830 24.0000000000
1027 26.0000000000
1096 29.0000000000
1374 31.0000000000
1445 32.0000000000
1712 35.0000000000
1983 37.0000000000
2244 42.0000000000
2250 51.0000000000
2290 55.0000000000
2352 58.0000000000
3429 59.0000000000
3927 60.0000000000
4039 61.0000000000
4086 62.0000000000
4137 63.0000000000
4199 65.0000000000
4277 66.0000000000
4302 69.0000000000
4320 70.0000000000
4407 71.0000000000
4449 72.0000000000
4453 75.0000000000
4596 76.0000000000
4686 77.0000000000
4965 78.0000000000
5418 81.0000000000
5476 82.0000000000
5905 83.0000000000
6294 85.0000000000
6387 91.0000000000
6628 93.0000000000
7145 94.0000000000
7356 95.0000000000
7912 98.0000000000
8131 99.0000000000
9122 100.0000000000
100000 100.0000000000
evaluations raw_y
1 1.0000000000
2 2.0000000000
5 3.0000000000
7 5.0000000000
11 8.0000000000
34 9.0000000000
82 11.0000000000
138 12.0000000000
156 13.0000000000
173 14.0000000000
290 15.0000000000
440 16.0000000000
642 21.0000000000
1120 25.0000000000
1242 26.0000000000
1260 28.0000000000
1453 29.0000000000
1475 33.0000000000
1625 35.0000000000
1761 36.0000000000
2311 39.0000000000
2605 42.0000000000
2647 43.0000000000
3111 44.0000000000
3244 45.0000000000
3346 47.0000000000
3525 50.0000000000
3743 53.0000000000
3776 57.0000000000
3836 59.0000000000
3934 60.0000000000
4724 63.0000000000
5055 64.0000000000
5117 66.0000000000
5144 68.0000000000
5300 70.0000000000
5590 71.0000000000
5632 75.0000000000
5692 76.0000000000
6035 77.0000000000
6183 80.0000000000
6262 82.0000000000
6280 83.0000000000
6301 84.0000000000
6370 86.0000000000
6586 90.0000000000
7463 91.0000000000
7775 92.0000000000
8161 93.0000000000
8302 94.0000000000
8646 95.0000000000
8704 96.0000000000
8926 98.0000000000
9550 100.0000000000
100000 75.0000000000
evaluations raw_y
1 0.0000000000
2 1.0000000000
5 3.0000000000
17 8.0000000000
87 10.0000000000
346 16.0000000000
394 19.0000000000
480 20.0000000000
484 21.0000000000
724 22.0000000000
1065 27.0000000000
1148 28.0000000000
1252 29.0000000000
1336 30.0000000000
1346 31.0000000000
1460 35.0000000000
1692 36.0000000000
1789 37.0000000000
1966 38.0000000000
2256 39.0000000000
2385 40.0000000000
2513 43.0000000000
3240 47.0000000000
3489 48.0000000000
3943 53.0000000000
4025 54.0000000000
4293 55.0000000000
4335 56.0000000000
4762 57.0000000000
4966 58.0000000000
5428 59.0000000000
5448 60.0000000000
5460 61.0000000000
5738 63.0000000000
5803 64.0000000000
5840 66.0000000000
6235 71.0000000000
6294 72.0000000000
6879 74.0000000000
7516 75.0000000000
7655 80.0000000000
7709 81.0000000000
7949 82.0000000000
8227 83.0000000000
9329 85.0000000000
9770 87.0000000000
9784 88.0000000000
10363 90.0000000000
10612 91.0000000000
10622 92.0000000000
11608 93.0000000000
11824 95.0000000000
11906 97.0000000000
11946 98.0000000000
12891 99.0000000000
13358 100.0000000000
100000 55.0000000000
evaluations raw_y
1 1.0000000000
10 7.0000000000
333 9.0000000000
409 10.0000000000
557 12.0000000000
767 13.0000000000
789 14.0000000000
897 16.0000000000
1167 18.0000000000
1560 19.0000000000
1670 21.0000000000
1777 22.0000000000
1806 23.0000000000
1874 25.0000000000
2427 26.0000000000
2827 27.0000000000
2849 28.0000000000
3411 29.0000000000
3449 31.0000000000
3479 33.0000000000
3562 34.0000000000
3685 35.0000000000
4026 37.0000000000
4054 38.0000000000
4144 39.0000000000
4348 40.0000000000
4357 41.0000000000
4666 43.0000000000
4729 44.0000000000
4736 46.0000000000
4959 47.0000000000
5103 51.0000000000
5121 52.0000000000
5133 56.0000000000
5535 57.0000000000
5624 58.0000000000
6180 60.0000000000
6220 64.0000000000
6403 66.0000000000
6572 68.0000000000
6607 70.0000000000
6847 73.0000000000
6866 74.0000000000
7022 75.0000000000
7139 78.0000000000
7229 80.0000000000
7271 81.0000000000
7563 85.0000000000
7615 86.0000000000
7954 89.0000000000
8561 91.0000000000
9615 94.0000000000
9675 96.0000000000
9713 100.0000000000
100000 22.0000000000
evaluations raw_y
1 1.0000000000
3 2.0000000000
9 3.0000000000
16 4.0000000000
32 5.0000000000
137 6.0000000000
198 7.0000000000
216 9.0000000000
224 10.0000000000
379 11.0000000000
619 12.0000000000
650 13.0000000000
729 16.0000000000
838 17.0000000000
1061 18.0000000000
1171 20.0000000000
1189 24.0000000000
1295 25.0000000000
1300 27.0000000000
1394 29.0000000000
1474 30.0000000000
1636 31.0000000000
1720 32.0000000000
1815 39.0000000000
1853 40.0000000000
1953 42.0000000000
2141 43.0000000000
2398 44.0000000000
2838 49.0000000000
2864 53.0000000000
3035 55.0000000000
3168 56.0000000000
3171 59.0000000000
3209 60.0000000000
3385 62.0000000000
3638 64.0000000000
3639 66.0000000000
3988 67.0000000000
4335 68.0000000000
4488 70.0000000000
4714 71.0000000000
4835 74.0000000000
4915 75.0000000000
5249 78.0000000000
5663 81.0000000000
5665 86.0000000000
5742 90.0000000000
6054 92.0000000000
6275 100.0000000000
100000 8.0000000000
evaluations raw_y
1 0.0000000000
7 1.0000000000
95 3.0000000000
168 5.0000000000
438 7.0000000000
473 8.0000000000
546 9.0000000000
555 13.0000000000
568 16.0000000000
584 17.0000000000
663 19.0000000000
839 20.0000000000
957 21.0000000000
1015 22.0000000000
1389 23.0000000000
1579 25.0000000000
1759 26.0000000000
1924 36.0000000000
2138 37.0000000000
2337 38.0000000000
2385 41.0000000000
2395 43.0000000000
2723 46.0000000000
2821 48.0000000000
2863 49.0000000000
3483 53.0000000000
3566 55.0000000000
3637 56.0000000000
3796 57.0000000000
3876 59.0000000000
4717 60.0000000000
5130 63.0000000000
5159 65.0000000000
5404 66.0000000000
5776 67.0000000000
5874 70.0000000000
6228 71.0000000000
6599 76.0000000000
6877 78.0000000000
7018 83.0000000000
7440 87.0000000000
7663 88.0000000000
7754 89.0000000000
7821 92.0000000000
7943 93.0000000000
9751 96.0000000000
9830 97.0000000000
9994 98.0000000000
10245 100.0000000000
100000 59.0000000000
evaluations raw_y
1 2.0000000000
579 3.0000000000
847 4.0000000000
909 5.0000000000
932 6.0000000000
983 8.0000000000
1237 11.0000000000
1477 12.0000000000
1640 15.0000000000
1684 16.0000000000
2219 20.0000000000
2576 21.0000000000
2813 23.0000000000
