evaluations raw_y
1 2685.0000000000
7 3082.0000000000
14 3134.0000000000
15 3214.0000000000
21 3333.0000000000
28 3475.0000000000
34 3492.0000000000
37 3667.0000000000
75 3700.0000000000
78 3864.0000000000
111 3899.0000000000
112 3926.0000000000
116 3932.0000000000
123 3948.0000000000
129 4101.0000000000
143 4102.0000000000
149 4126.0000000000
160 4169.0000000000
174 4187.0000000000
175 4193.0000000000
180 4228.0000000000
189 4238.0000000000
196 4284.0000000000
200 4314.0000000000
206 4318.0000000000
208 4360.0000000000
219 4428.0000000000
225 4449.0000000000
241 4454.0000000000
247 4542.0000000000
250 4573.0000000000
289 4576.0000000000
296 4591.0000000000
313 4598.0000000000
314 4621.0000000000
333 4696.0000000000
346 4761.0000000000
370 4789.0000000000
401 4852.0000000000
411 4872.0000000000
471 4904.0000000000
494 4952.0000000000
512 4955.0000000000
521 4975.0000000000
597 4983.0000000000
607 5050.0000000000
100000 4970.0000000000
evaluations raw_y
1 2351.0000000000
3 2436.0000000000
4 2884.0000000000
6 2927.0000000000
11 2934.0000000000
12 2999.0000000000
17 3008.0000000000
19 3031.0000000000
20 3370.0000000000
31 3380.0000000000
34 3401.0000000000
37 3408.0000000000
40 3442.0000000000
41 3556.0000000000
46 3602.0000000000
54 3633.0000000000
55 3662.0000000000
65 3734.0000000000
80 3791.0000000000
104 3823.0000000000
110 3827.0000000000
122 3900.0000000000
135 3915.0000000000
148 3983.0000000000
153 4058.0000000000
181 4063.0000000000
182 4131.0000000000
188 4286.0000000000
204 4330.0000000000
219 4333.0000000000
235 4353.0000000000
240 4356.0000000000
252 4360.0000000000
256 4382.0000000000
264 4390.0000000000
278 4447.0000000000
288 4492.0000000000
290 4529.0000000000
306 4540.0000000000
307 4543.0000000000
314 4544.0000000000
342 4627.0000000000
377 4634.0000000000
384 4656.0000000000
394 4675.0000000000
398 4754.0000000000
415 4768.0000000000
467 4828.0000000000
494 4846.0000000000
514 4910.0000000000
587 4917.0000000000
629 4934.0000000000
634 4968.0000000000
693 4978.0000000000
735 5010.0000000000
796 5038.0000000000
847 5050.0000000000
100000 4917.0000000000
evaluations raw_y
1 2308.0000000000
4 2408.0000000000
6 2579.0000000000
7 3091.0000000000
