evaluations raw_y
1 1.4180374362
10 1.4459224986
15 1.4475969890
19 1.4662756598
20 1.6118633140
23 1.7998560115
30 1.8670649739
32 1.9638648861
45 2.1720243267
47 2.3212627669
52 2.4154589372
55 2.6232948583
62 2.6288117771
93 2.6343519494
175 2.6968716289
201 2.8248587571
273 3.1525851198
289 3.1928480204
295 3.2341526520
392 3.5161744023
397 3.5260930889
100000 0.0520453836
evaluations raw_y
1 0.6707807888
2 0.6896551724
3 0.7805182641
4 0.8124796880
7 0.9022013713
8 0.9792401097
14 0.9956192752
20 1.0326311442
22 1.0438413361
26 1.1547344111
28 1.2406947891
29 1.3433637829
30 1.3896609227
31 1.4836795252
32 1.4889815366
34 1.5460729746
36 1.6077170418
50 1.6307893020
52 1.6589250166
54 1.7445917655
55 1.7869907076
58 1.8698578908
61 1.9305019305
68 2.0678246485
69 2.1061499579
76 2.3126734505
80 2.4727992087
87 2.5906735751
91 2.5960539979
97 2.6910656620
180 2.8312570781
193 2.9446407538
194 3.0978934325
1612 3.1446540881
2490 3.1685678074
2507 3.2594524120
2509 3.3921302578
2511 3.4578146611
9778 3.4770514604
9779 3.6496350365
100000 0.1388040642
evaluations raw_y
1 0.9731413001
4 1.0508617066
6 1.1215791835
7 1.2260912212
9 1.2645422357
11 1.3623978202
15 1.3758943313
17 1.3896609227
24 1.5015015015
29 1.6329196604
33 1.6350555919
39 1.8953752843
41 2.0746887967
45 2.1132713440
46 2.2789425706
47 2.3255813953
48 2.4485798237
58 2.5960539979
62 2.6123301985
63 2.7932960894
68 3.0012004802
72 3.0376670717
192 3.1766200762
198 3.5063113604
100000 0.0583825693
evaluations raw_y
1 0.9686168152
3 1.0544074230
6 1.0570824524
13 1.1185682327
14 1.2645422357
15 1.4543339151
18 1.6181229773
20 1.7229496899
21 1.8587360595
27 1.9069412662
29 2.1168501270
37 2.3169601483
41 2.3741690408
46 2.5853154085
64 2.6343519494
79 2.7932960894
100 2.9726516052
1380 3.1766200762
1387 3.2175032175
1398 3.2425421530
1400 3.5260930889
1405 3.5765379113
2221 3.7257824143
100000 0.1189513251
evaluations raw_y
1 1.1116051578
2 1.1348161598
3 1.2853470437
6 1.3653741125
12 1.4359563469
17 1.4925373134
18 1.5234613041
19 1.5556938395
20 1.6567263088
21 1.7041581459
27 1.7349063151
35 1.7519271198
38 1.8587360595
41 1.9245573518
42 1.9455252918
46 2.0374898126
61 2.2706630336
69 2.3255813953
76 2.3923444976
91 2.4154589372
100 2.5799793602
300 2.5906735751
301 2.7085590466
492 3.1055900621
505 3.2594524120
1099 3.2765399738
1398 3.3557046980
7560 3.5971223022
100000 0.0500190072
evaluations raw_y
1 1.4376078206
5 1.5576323988
9 1.5673981191
20 1.6307893020
22 1.8504811251
23 1.9825535289
30 1.9857029388
36 2.0678246485
51 2.1204410517
56 2.1533161068
70 2.2182786158
73 2.2381378693
89 2.3696682464
93 2.4485798237
98 2.6288117771
176 2.7808676307
272 2.8312570781
502 2.8835063437
875 3.0450669915
891 3.1766200762
893 3.2851511170
4343 3.3557046980
8870 3.4387895461
100000 0.0374470125
evaluations raw_y
1 1.3912075682
3 1.4679976512
4 1.7253278123
5 1.7325017325
7 1.9098548510
10 2.1720243267
12 2.3474178404
24 2.5025025025
31 2.5075225677
64 2.6178010471
194 2.7027027027
201 2.8835063437
693 2.9797377831
1009 3.0156815440
1292 3.0450669915
1613 3.0599755202
1615 3.3288948069
100000 0.0716969228
evaluations raw_y
1 1.5713387806
3 1.6181229773
4 1.7667844523
7 1.7692852088
18 2.0374898126
20 2.0408163265
25 2.1872265967
37 2.1987686895
53 2.2104332449
59 2.2872827081
60 2.3786869648
63 2.4582104228
64 2.4727992087
68 2.5799793602
75 2.7322404372
98 2.9171528588
178 3.1289111389
799 3.1685678074
804 3.2765399738
1078 3.4578146611
1080 3.5260930889
1086 3.6390101892
100000 0.1076240906
evaluations raw_y
1 1.2594458438
5 1.2632642749
8 1.3520822066
11 1.3865779257
13 1.4164305949
16 1.4819205691
19 1.6265452180
26 1.6329196604
54 1.6744809109
61 1.7135023989
65 1.7205781142
68 1.8615040953
74 2.0145044319
79 2.1349274125
82 2.2461814915
85 2.2914757104
96 2.3299161230
141 2.3386342376
150 2.3786869648
166 2.4015369837
176 2.4826216485
193 2.7027027027
194 2.7563395810
200 2.9726516052
270 3.0750307503
279 3.1446540881
299 3.1685678074
995 3.4106412005
100000 0.0456046261
evaluations raw_y
1 0.9394964299
2 1.0633772863
3 1.1215791835
6 1.1600928074
9 1.3178703216
10 1.6589250166
14 1.6700066800
17 1.7421602787
18 1.7895490336
24 2.0177562550
27 2.2461814915
31 2.4248302619
32 2.6123301985
35 2.6737967914
55 2.6910656620
58 2.7085590466
75 2.8121484814
77 2.9239766082
88 3.3200531208
8678 3.3738191633
12389 3.4013605442
100000 0.0594261808
