evaluations raw_y
1 50.0000000000
3 51.0000000000
5 52.0000000000
10 53.0000000000
12 54.0000000000
13 55.0000000000
14 56.0000000000
15 57.0000000000
21 58.0000000000
27 59.0000000000
30 60.0000000000
32 61.0000000000
33 62.0000000000
34 63.0000000000
36 64.0000000000
38 65.0000000000
41 66.0000000000
42 67.0000000000
43 68.0000000000
44 69.0000000000
45 70.0000000000
48 71.0000000000
51 72.0000000000
53 73.0000000000
58 74.0000000000
60 75.0000000000
62 76.0000000000
66 77.0000000000
69 78.0000000000
71 79.0000000000
74 80.0000000000
75 81.0000000000
76 82.0000000000
77 83.0000000000
78 84.0000000000
79 85.0000000000
80 86.0000000000
83 87.0000000000
85 88.0000000000
86 89.0000000000
87 90.0000000000
88 91.0000000000
90 92.0000000000
92 93.0000000000
93 94.0000000000
95 95.0000000000
96 96.0000000000
97 97.0000000000
98 98.0000000000
100 99.0000000000
101 100.0000000000
100000 92.0000000000
evaluations raw_y
1 56.0000000000
3 57.0000000000
4 58.0000000000
6 59.0000000000
7 60.0000000000
10 61.0000000000
11 62.0000000000
16 63.0000000000
21 64.0000000000
23 65.0000000000
25 66.0000000000
29 67.0000000000
31 68.0000000000
32 69.0000000000
35 70.0000000000
36 71.0000000000
41 72.0000000000
45 73.0000000000
46 74.0000000000
49 75.0000000000
51 76.0000000000
52 77.0000000000
53 78.0000000000
55 79.0000000000
57 80.0000000000
62 81.0000000000
65 82.0000000000
66 83.0000000000
67 84.0000000000
71 85.0000000000
79 86.0000000000
81 87.0000000000
83 88.0000000000
84 89.0000000000
85 90.0000000000
86 91.0000000000
87 92.0000000000
88 93.0000000000
89 94.0000000000
90 95.0000000000
93 96.0000000000
94 97.0000000000
97 98.0000000000
98 99.0000000000
101 100.0000000000
100000 90.0000000000
evaluations raw_y
1 49.0000000000
3 50.0000000000
7 51.0000000000
9 52.0000000000
10 53.0000000000
12 54.0000000000
18 55.0000000000
19 56.0000000000
20 57.0000000000
22 58.0000000000
25 59.0000000000
26 60.0000000000
27 61.0000000000
28 62.0000000000
29 63.0000000000
30 64.0000000000
31 65.0000000000
34 66.0000000000
35 67.0000000000
36 68.0000000000
42 69.0000000000
43 70.0000000000
45 71.0000000000
46 72.0000000000
49 73.0000000000
50 74.0000000000
51 75.0000000000
52 76.0000000000
53 77.0000000000
55 78.0000000000
57 79.0000000000
58 80.0000000000
62 81.0000000000
64 82.0000000000
65 83.0000000000
68 84.0000000000
70 85.0000000000
72 86.0000000000
73 87.0000000000
74 88.0000000000
75 89.0000000000
77 90.0000000000
79 91.0000000000
81 92.0000000000
82 93.0000000000
88 94.0000000000
89 95.0000000000
90 96.0000000000
94 97.0000000000
96 98.0000000000
99 99.0000000000
101 100.0000000000
100000 87.0000000000
evaluations raw_y
1 49.0000000000
2 50.0000000000
3 51.0000000000
4 52.0000000000
6 53.0000000000
8 54.0000000000
10 55.0000000000
12 56.0000000000
15 57.0000000000
16 58.0000000000
17 59.0000000000
18 60.0000000000
20 61.0000000000
21 62.0000000000
22 63.0000000000
23 64.0000000000
24 65.0000000000
26 66.0000000000
27 67.0000000000
32 68.0000000000
34 69.0000000000
36 70.0000000000
37 71.0000000000
42 72.0000000000
43 73.0000000000
44 74.0000000000
45 75.0000000000
47 76.0000000000
50 77.0000000000
52 78.0000000000
53 79.0000000000
55 80.0000000000
58 81.0000000000
59 82.0000000000
66 83.0000000000
67 84.0000000000
69 85.0000000000
70 86.0000000000
75 87.0000000000
77 88.0000000000
78 89.0000000000
79 90.0000000000
80 91.0000000000
82 92.0000000000
83 93.0000000000
84 94.0000000000
92 95.0000000000
94 96.0000000000
95 97.0000000000
96 98.0000000000
97 99.0000000000
100 100.0000000000
100000 92.0000000000
evaluations raw_y
1 60.0000000000
2 61.0000000000
4 62.0000000000
9 63.0000000000
11 64.0000000000
14 65.0000000000
16 66.0000000000
17 67.0000000000
19 68.0000000000
22 69.0000000000
23 70.0000000000
26 71.0000000000
28 72.0000000000
38 73.0000000000
41 74.0000000000
42 75.0000000000
43 76.0000000000
45 77.0000000000
46 78.0000000000
47 79.0000000000
54 80.0000000000
57 81.0000000000
61 82.0000000000
62 83.0000000000
72 84.0000000000
73 85.0000000000
78 86.0000000000
79 87.0000000000
80 88.0000000000
81 89.0000000000
82 90.0000000000
85 91.0000000000
88 92.0000000000
90 93.0000000000
92 94.0000000000
93 95.0000000000
94 96.0000000000
96 97.0000000000
99 98.0000000000
100 99.0000000000
101 100.0000000000
100000 93.0000000000
evaluations raw_y
1 50.0000000000
3 51.0000000000
5 52.0000000000
6 53.0000000000
7 54.0000000000
9 55.0000000000
11 56.0000000000
14 57.0000000000
16 58.0000000000
20 59.0000000000
24 60.0000000000
25 61.0000000000
27 62.0000000000
28 63.0000000000
29 64.0000000000
32 65.0000000000
33 66.0000000000
34 67.0000000000
35 68.0000000000
36 69.0000000000
41 70.0000000000
44 71.0000000000
45 72.0000000000
46 73.0000000000
49 74.0000000000
50 75.0000000000
51 76.0000000000
52 77.0000000000
53 78.0000000000
55 79.0000000000
59 80.0000000000
66 81.0000000000
67 82.0000000000
69 83.0000000000
70 84.0000000000
71 85.0000000000
76 86.0000000000
77 87.0000000000
80 88.0000000000
81 89.0000000000
82 90.0000000000
83 91.0000000000
88 92.0000000000
90 93.0000000000
92 94.0000000000
93 95.0000000000
95 96.0000000000
96 97.0000000000
97 98.0000000000
98 99.0000000000
101 100.0000000000
100000 91.0000000000
evaluations raw_y
1 55.0000000000
2 56.0000000000
3 57.0000000000
4 58.0000000000
7 59.0000000000
8 60.0000000000
11 61.0000000000
12 62.0000000000
14 63.0000000000
20 64.0000000000
30 65.0000000000
33 66.0000000000
34 67.0000000000
35 68.0000000000
38 69.0000000000
40 70.0000000000
43 71.0000000000
45 72.0000000000
48 73.0000000000
51 74.0000000000
52 75.0000000000
55 76.0000000000
56 77.0000000000
60 78.0000000000
63 79.0000000000
64 80.0000000000
65 81.0000000000
67 82.0000000000
69 83.0000000000
71 84.0000000000
72 85.0000000000
75 86.0000000000
77 87.0000000000
