evaluations raw_y
1 -0.5503588469
3 -0.5460105097
5 -0.5458431823
6 -0.5432851330
8 -0.5420235768
9 -0.5385440223
10 -0.5372832263
13 -0.5271061117
14 -0.5211277071
16 -0.5174411483
17 -0.5109077451
20 -0.5085662897
23 -0.5062036688
27 -0.5056266360
29 -0.5022856359
30 -0.4995828806
31 -0.4917452178
35 -0.4820319609
36 -0.4799452301
41 -0.4734199598
42 -0.4670043381
43 -0.4631407303
46 -0.4624824757
48 -0.4538552698
49 -0.4483099405
51 -0.4478702113
52 -0.4398908758
59 -0.4352646810
60 -0.4339974201
62 -0.4299321552
63 -0.4295313412
66 -0.4187041228
69 -0.4137508602
72 -0.4048620515
73 -0.3942658377
76 -0.3885633536
79 -0.3800493311
81 -0.3754188490
82 -0.3644667585
83 -0.3607012166
85 -0.3606441538
88 -0.3579900238
92 -0.3526308280
96 -0.3496470285
97 -0.3484064949
98 -0.3483981097
184 -0.3467270164
188 -0.3438084851
190 -0.3425369768
192 -0.3423300673
196 -0.3410997771
197 -0.3405298931
198 -0.3392893595
199 -0.3392809744
285 -0.3378654963
290 -0.3352113662
296 -0.3340189361
386 -0.3319666698
388 -0.3319096070
389 -0.3278565260
398 -0.3266262358
401 -0.3266178507
1400 -0.3255926746
1401 -0.3229385446
1402 -0.3210675253
1407 -0.3198750952
1410 -0.3186345615
1411 -0.3186261764
13729 -0.3176350272
71501 -0.3167447401
100000 -0.4887555340
evaluations raw_y
1 -0.4603214695
2 -0.4599694279
3 -0.4566440705
4 -0.4540948841
8 -0.4493999565
9 -0.4459204020
10 -0.4409889035
11 -0.4355899615
12 -0.4347660587
18 -0.4344344847
21 -0.4275818294
23 -0.4253023810
24 -0.4230972666
26 -0.4177123878
30 -0.4150096325
32 -0.4102362450
34 -0.4082669038
40 -0.4033129152
42 -0.3977872031
43 -0.3939235953
46 -0.3904833061
47 -0.3807628693
49 -0.3752175400
51 -0.3747778108
53 -0.3674953283
58 -0.3672291885
62 -0.3631639236
63 -0.3627631096
64 -0.3584658172
78 -0.3567549217
79 -0.3482408992
84 -0.3474628077
85 -0.3449007325
86 -0.3408476514
87 -0.3379291201
88 -0.3352749901
91 -0.3350680806
94 -0.3338756504
95 -0.3326453603
96 -0.3320754763
97 -0.3308349427
98 -0.3308265576
195 -0.3298761195
196 -0.3286458294
197 -0.3280759454
1107 -0.3280382506
1108 -0.3280298654
1401 -0.3270718908
1402 -0.3252008716
1407 -0.3240084414
1408 -0.3227781513
1409 -0.3222082673
1410 -0.3209677337
1411 -0.3209593486
1510 -0.3201514254
1512 -0.3201430403
1805 -0.3196016607
1808 -0.3193947512
1811 -0.3182023210
1813 -0.3176324371
2506 -0.3141602402
2508 -0.3133821486
2512 -0.3107280186
100000 -0.4972205706
evaluations raw_y
1 -0.4967855147
6 -0.4908880750
7 -0.4869920488
9 -0.4835124943
12 -0.4779177480
13 -0.4677406334
16 -0.4640540746
17 -0.4575206715
20 -0.4551792160
22 -0.4472595359
23 -0.4449800875
24 -0.4377596410
26 -0.4323747623
30 -0.4230450346
32 -0.4182716470
36 -0.4174433355
37 -0.4155356784
41 -0.4090104081
50 -0.4041988766
51 -0.4037591474
57 -0.3960799553
58 -0.3912351006
59 -0.3866089059
60 -0.3842485757
62 -0.3839245374
65 -0.3804617787
67 -0.3769842874
73 -0.3705326560
79 -0.3662109244
81 -0.3627836398
82 -0.3577954434
83 -0.3497728968
84 -0.3489948052
88 -0.3463406752
90 -0.3453365428
95 -0.3441062527
98 -0.3440978675
285 -0.3426616904
290 -0.3400075604
291 -0.3381365411
295 -0.3276478590
296 -0.3264554288
298 -0.3258855449
299 -0.3246450113
300 -0.3246366261
795 -0.3235714880
796 -0.3217004687
799 -0.3163412729
800 -0.3153322611
801 -0.3141398310
802 -0.3129095408
803 -0.3099257413
805 -0.3099173561
2925 -0.3095870421
100000 -0.4836607631
evaluations raw_y
1 -0.4980509456
3 -0.4937026083
4 -0.4911534219
5 -0.4909860946
6 -0.4904273114
9 -0.4862209668
12 -0.4848967631
17 -0.4833752247
20 -0.4788613371
21 -0.4735417012
22 -0.4721947605
23 -0.4699153121
31 -0.4692258954
34 -0.4673180553
35 -0.4599410380
36 -0.4591127264
37 -0.4558076200
38 -0.4450449549
39 -0.4370485219
45 -0.4347407715
46 -0.4340825169
48 -0.4254553110
53 -0.4224076460
54 -0.4216453483
56 -0.4149203111
57 -0.4072411190
58 -0.4023962643
60 -0.4011290034
64 -0.3989271846
65 -0.3985125392
66 -0.3912612017
67 -0.3886727178
69 -0.3808598999
72 -0.3748187826
73 -0.3683671513
78 -0.3651169304
79 -0.3566029080
81 -0.3519724259
88 -0.3493182959
89 -0.3474472766
91 -0.3472403671
94 -0.3460479369
95 -0.3448176467
97 -0.3435771131
98 -0.3435687280
183 -0.3429182185
187 -0.3388651374
190 -0.3369941181
195 -0.3358016880
197 -0.3352318040
198 -0.3339912704
199 -0.3339828853
290 -0.3316614850
291 -0.3303899766
298 -0.3274061771
299 -0.3261656435
300 -0.3261572584
1102 -0.3259070054
1104 -0.3247145752
1107 -0.3234740416
1108 -0.3234656565
1915 -0.3231612074
1916 -0.3231528222
2821 -0.3219759662
2824 -0.3207354326
3212 -0.3189037887
3219 -0.3162496587
3220 -0.3149781504
3223 -0.3096189546
3225 -0.3084265245
100000 -0.4953985829
evaluations raw_y
1 -0.5368465921
4 -0.5350752131
5 -0.5349078858
6 -0.5174646286
7 -0.5135686024
8 -0.5088736749
9 -0.5046673303
11 -0.4972385936
13 -0.4870614790
19 -0.4863686277
21 -0.4810489919
22 -0.4797020511
23 -0.4773394302
25 -0.4754557818
29 -0.4721147818
30 -0.4651761345
34 -0.4632067933
35 -0.4559569843
36 -0.4452142084
37 -0.4442623101
38 -0.4415723283
40 -0.4397481882
41 -0.4345898094
42 -0.4321519567
44 -0.4314109393
45 -0.4291031889
46 -0.4284449343
49 -0.4279151916
50 -0.4231036601
52 -0.4182286538
53 -0.4109461713
58 -0.4106800314
59 -0.4060538366
63 -0.4054372544
64 -0.4012290299
69 -0.3962757674
73 -0.3898241360
81 -0.3851936539
82 -0.3742415634
83 -0.3704760215
88 -0.3678218915
89 -0.3665503832
98 -0.3665419980
99 -0.3662358712
175 -0.3589906060
181 -0.3539793822
