evaluations raw_y
1 2670.0000000000
2 2671.0000000000
3 2673.0000000000
9 2681.0000000000
10 2690.0000000000
15 2704.0000000000
19 2722.0000000000
20 2741.0000000000
21 2761.0000000000
22 2782.0000000000
23 2804.0000000000
24 2827.0000000000
26 2852.0000000000
32 2883.0000000000
33 2915.0000000000
34 2948.0000000000
35 2982.0000000000
36 3017.0000000000
38 3054.0000000000
39 3092.0000000000
40 3131.0000000000
45 3175.0000000000
49 3223.0000000000
51 3273.0000000000
53 3325.0000000000
54 3378.0000000000
56 3433.0000000000
57 3489.0000000000
58 3546.0000000000
61 3606.0000000000
62 3667.0000000000
64 3730.0000000000
65 3794.0000000000
71 3864.0000000000
73 3936.0000000000
74 4009.0000000000
75 4083.0000000000
78 4160.0000000000
82 4241.0000000000
86 4326.0000000000
87 4412.0000000000
88 4499.0000000000
89 4587.0000000000
90 4676.0000000000
91 4766.0000000000
92 4857.0000000000
95 4951.0000000000
100 5050.0000000000
100000 4606.0000000000
evaluations raw_y
1 2483.0000000000
3 2485.0000000000
4 2488.0000000000
5 2492.0000000000
7 2498.0000000000
8 2505.0000000000
9 2513.0000000000
12 2524.0000000000
13 2536.0000000000
14 2549.0000000000
15 2563.0000000000
17 2579.0000000000
18 2596.0000000000
19 2614.0000000000
20 2633.0000000000
21 2653.0000000000
22 2674.0000000000
23 2696.0000000000
24 2719.0000000000
28 2746.0000000000
30 2775.0000000000
31 2805.0000000000
32 2836.0000000000
33 2868.0000000000
34 2901.0000000000
35 2935.0000000000
36 2970.0000000000
38 3007.0000000000
39 3045.0000000000
44 3088.0000000000
45 3132.0000000000
47 3178.0000000000
48 3225.0000000000
49 3273.0000000000
53 3325.0000000000
57 3381.0000000000
59 3439.0000000000
60 3498.0000000000
62 3559.0000000000
64 3622.0000000000
65 3686.0000000000
66 3751.0000000000
67 3817.0000000000
71 3887.0000000000
72 3958.0000000000
73 4030.0000000000
74 4103.0000000000
75 4177.0000000000
77 4253.0000000000
80 4332.0000000000
82 4413.0000000000
86 4498.0000000000
87 4584.0000000000
90 4673.0000000000
91 4763.0000000000
92 4854.0000000000
97 4950.0000000000
101 5050.0000000000
100000 4546.0000000000
evaluations raw_y
1 2404.0000000000
2 2405.0000000000
3 2407.0000000000
4 2410.0000000000
8 2417.0000000000
11 2427.0000000000
14 2440.0000000000
16 2455.0000000000
18 2472.0000000000
19 2490.0000000000
22 2511.0000000000
23 2533.0000000000
26 2558.0000000000
28 2585.0000000000
29 2613.0000000000
30 2642.0000000000
32 2673.0000000000
34 2706.0000000000
36 2741.0000000000
38 2778.0000000000
39 2816.0000000000
41 2856.0000000000
42 2897.0000000000
45 2941.0000000000
46 2986.0000000000
47 3032.0000000000
48 3079.0000000000
49 3127.0000000000
50 3176.0000000000
51 3226.0000000000
52 3277.0000000000
55 3331.0000000000
56 3386.0000000000
57 3442.0000000000
60 3501.0000000000
61 3561.0000000000
63 3623.0000000000
68 3690.0000000000
69 3758.0000000000
75 3832.0000000000
77 3908.0000000000
78 3985.0000000000
81 4065.0000000000
83 4147.0000000000
85 4231.0000000000
86 4316.0000000000
88 4403.0000000000
89 4491.0000000000
90 4580.0000000000
91 4670.0000000000
93 4762.0000000000
96 4857.0000000000
97 4953.0000000000
98 5050.0000000000
100000 4834.0000000000
evaluations raw_y
1 2221.0000000000
2 2222.0000000000
4 2225.0000000000
5 2229.0000000000
6 2234.0000000000
7 2240.0000000000
8 2247.0000000000
9 2255.0000000000
11 2265.0000000000
13 2277.0000000000
14 2290.0000000000
15 2304.0000000000
17 2320.0000000000
18 2337.0000000000
20 2356.0000000000
21 2376.0000000000
22 2397.0000000000
26 2422.0000000000
28 2449.0000000000
29 2477.0000000000
30 2506.0000000000
32 2537.0000000000
33 2569.0000000000
34 2602.0000000000
38 2639.0000000000
40 2678.0000000000
41 2718.0000000000
42 2759.0000000000
43 2801.0000000000
44 2844.0000000000
45 2888.0000000000
46 2933.0000000000
49 2981.0000000000
50 3030.0000000000
51 3080.0000000000
54 3133.0000000000
55 3187.0000000000
58 3244.0000000000
59 3302.0000000000
60 3361.0000000000
61 3421.0000000000
62 3482.0000000000
63 3544.0000000000
69 3612.0000000000
72 3683.0000000000
73 3755.0000000000
74 3828.0000000000
75 3902.0000000000
76 3977.0000000000
77 4053.0000000000
80 4132.0000000000
81 4212.0000000000
88 4299.0000000000
89 4387.0000000000
90 4476.0000000000
91 4566.0000000000
92 4657.0000000000
97 4753.0000000000
99 4851.0000000000
100 4950.0000000000
101 5050.0000000000
100000 4484.0000000000
evaluations raw_y
1 2463.0000000000
3 2465.0000000000
4 2468.0000000000
5 2472.0000000000
7 2478.0000000000
10 2487.0000000000
12 2498.0000000000
13 2510.0000000000
15 2524.0000000000
17 2540.0000000000
18 2557.0000000000
20 2576.0000000000
22 2597.0000000000
24 2620.0000000000
25 2644.0000000000
26 2669.0000000000
27 2695.0000000000
28 2722.0000000000
32 2753.0000000000
33 2785.0000000000
35 2819.0000000000
36 2854.0000000000
43 2896.0000000000
44 2939.0000000000
45 2983.0000000000
47 3029.0000000000
48 3076.0000000000
49 3124.0000000000
50 3173.0000000000
51 3223.0000000000
54 3276.0000000000
56 3331.0000000000
57 3387.0000000000
58 3444.0000000000
59 3502.0000000000
61 3562.0000000000
62 3623.0000000000
63 3685.0000000000
64 3748.0000000000
65 3812.0000000000
66 3877.0000000000
68 3944.0000000000
70 4013.0000000000
72 4084.0000000000
73 4156.0000000000
75 4230.0000000000
81 4310.0000000000
87 4396.0000000000
89 4484.0000000000
90 4573.0000000000
91 4663.0000000000
92 4754.0000000000
98 4851.0000000000
100 4950.0000000000
101 5050.0000000000
100000 4606.0000000000
evaluations raw_y
1 2651.0000000000
3 2653.0000000000
4 2656.0000000000
7 2662.0000000000
8 2669.0000000000
11 2679.0000000000
13 2691.0000000000
14 2704.0000000000
15 2718.0000000000
18 2735.0000000000
20 2754.0000000000
22 2775.0000000000
23 2797.0000000000
25 2821.0000000000
26 2846.0000000000
28 2873.0000000000
30 2902.0000000000
32 2933.0000000000
33 2965.0000000000
34 2998.0000000000
35 3032.0000000000
37 3068.0000000000
38 3105.0000000000
39 3143.0000000000
40 3182.0000000000
41 3222.0000000000
42 3263.0000000000
44 3306.0000000000
47 3352.0000000000
48 3399.0000000000
53 3451.0000000000
56 3506.0000000000
57 3562.0000000000
58 3619.0000000000
60 3678.0000000000
62 3739.0000000000
63 3801.0000000000
64 3864.0000000000
67 3930.0000000000
69 3998.0000000000
70 4067.0000000000
72 4138.0000000000
75 4212.0000000000
76 4287.0000000000
77 4363.0000000000
78 4440.0000000000
79 4518.0000000000
82 4599.0000000000
84 4682.0000000000
86 4767.0000000000
91 4857.0000000000
96 4952.0000000000
99 5050.0000000000
100000 4239.0000000000
evaluations raw_y
1 2047.0000000000
2 2048.0000000000
4 2051.0000000000
5 2055.0000000000
11 2065.0000000000
12 2076.0000000000
13 2088.0000000000
15 2102.0000000000
16 2117.0000000000
19 2135.0000000000
22 2156.0000000000
24 2179.0000000000
26 2204.0000000000
27 2230.0000000000
28 2257.0000000000
31 2287.0000000000
33 2319.0000000000
35 2353.0000000000
40 2392.0000000000
42 2433.0000000000
44 2476.0000000000
45 2520.0000000000
46 2565.0000000000
51 2615.0000000000
52 2666.0000000000
53 2718.0000000000
56 2773.0000000000
57 2829.0000000000
58 2886.0000000000
61 2946.0000000000
62 3007.0000000000
