eil51 jump min: 409.00, mean: 574.50
eil51 exchange min: 669.00, mean: 754.93
eil51 2opt min: 508.00, mean: 589.93
eil76 jump min: 904.00, mean: 1006.63
eil76 exchange min: 1109.00, mean: 1205.93
eil76 2opt min: 810.00, mean: 972.87
eil101 jump min: 1321.00, mean: 1519.17
eil101 exchange min: 1547.00, mean: 1674.53
eil101 2opt min: 1283.00, mean: 1385.57
kroA100 jump min: 57664.00, mean: 67411.53
kroA100 exchange min: 68778.00, mean: 75984.00
kroA100 2opt min: 51921.00, mean: 58955.60
kroC100 jump min: 57984.00, mean: 67302.20
kroC100 exchange min: 68340.00, mean: 74819.27
kroC100 2opt min: 52589.00, mean: 59055.27
kroD100 jump min: 55931.00, mean: 66040.97
kroD100 exchange min: 66747.00, mean: 74361.10
kroD100 2opt min: 52096.00, mean: 59593.70
lin105 jump min: 42431.00, mean: 50366.83
lin105 exchange min: 47853.00, mean: 54922.03
lin105 2opt min: 39220.00, mean: 44771.30
pcb442 jump min: 482379.00, mean: 502226.30
pcb442 exchange min: 473484.00, mean: 501394.63
pcb442 2opt min: 476024.00, mean: 495986.03
pr2392 jump min: 12983238.00, mean: 13304946.33
pr2392 exchange min: 12856459.00, mean: 13177345.07
pr2392 2opt min: 13356046.00, mean: 13579140.40
st70 jump min: 1099.00, mean: 1348.20
st70 exchange min: 1512.00, mean: 1644.77
st70 2opt min: 1170.00, mean: 1282.43
usa13509 jump min: 2076942321.00, mean: 2092533975.17
usa13509 exchange min: 2068957335.00, mean: 2087517111.93
usa13509 2opt min: 2090997937.00, mean: 2109249095.43
