eil51 jump min: 423.00, mean: 567.33
eil51 exchange min: 648.00, mean: 772.50
eil51 2opt min: 540.00, mean: 588.97
eil76 jump min: 833.00, mean: 1028.40
eil76 exchange min: 1132.00, mean: 1200.80
eil76 2opt min: 872.00, mean: 966.50
eil101 jump min: 1272.00, mean: 1499.33
eil101 exchange min: 1556.00, mean: 1683.33
eil101 2opt min: 1261.00, mean: 1389.80
kroA100 jump min: 58301.00, mean: 67821.40
kroA100 exchange min: 67573.00, mean: 75895.27
kroA100 2opt min: 54085.00, mean: 60344.20
kroC100 jump min: 56891.00, mean: 66522.47
kroC100 exchange min: 65917.00, mean: 73342.10
kroC100 2opt min: 51906.00, mean: 59723.17
kroD100 jump min: 57986.00, mean: 64686.97
kroD100 exchange min: 66886.00, mean: 74436.13
kroD100 2opt min: 50566.00, mean: 58867.17
lin105 jump min: 39412.00, mean: 49006.77
lin105 exchange min: 49173.00, mean: 54999.17
lin105 2opt min: 38962.00, mean: 43509.20
pcb442 jump min: 482921.00, mean: 500446.27
pcb442 exchange min: 489833.00, mean: 505226.87
pcb442 2opt min: 473449.00, mean: 493787.33
pr2392 jump min: 12999880.00, mean: 13274595.30
pr2392 exchange min: 12925200.00, mean: 13171012.37
pr2392 2opt min: 13337394.00, mean: 13583762.33
st70 jump min: 1103.00, mean: 1371.67
st70 exchange min: 1426.00, mean: 1648.43
st70 2opt min: 1106.00, mean: 1256.50
usa13509 jump min: 2078008225.00, mean: 2092017110.40
usa13509 exchange min: 2069158598.00, mean: 2087563703.43
usa13509 2opt min: 2090502330.00, mean: 2106467358.93
